자치구,동,전체단지수,유효단지수,유효타입수,판정
강남구,개포동,45,13,49,포함
강남구,논현동,96,7,33,포함
강남구,대치동,62,19,91,포함
강남구,도곡동,61,20,105,포함
강남구,삼성동,81,20,95,포함
강남구,세곡동,7,6,28,포함
강남구,수서동,8,8,33,포함
강남구,신사동,33,2,8,제외
강남구,압구정동,23,18,122,포함
강남구,역삼동,126,19,94,포함
강남구,율현동,2,0,0,제외
강남구,일원동,19,11,34,포함
강남구,자곡동,8,3,20,포함
강남구,청담동,116,16,80,포함
서초구,내곡동,2,1,19,제외
서초구,반포동,111,12,79,포함
서초구,방배동,259,28,135,포함
서초구,서초동,197,28,161,포함
서초구,신원동,5,5,38,포함
서초구,양재동,82,2,9,제외
서초구,염곡동,0,0,0,제외
서초구,우면동,15,12,55,포함
서초구,원지동,0,0,0,제외
서초구,잠원동,70,31,124,포함
송파구,가락동,75,16,59,포함
송파구,거여동,29,10,33,포함
송파구,마천동,29,8,35,포함
송파구,문정동,54,12,43,포함
송파구,방이동,57,7,30,포함
송파구,삼전동,19,1,2,제외
송파구,석촌동,18,1,5,제외
송파구,송파동,42,9,49,포함
송파구,신천동,8,5,27,포함
송파구,오금동,60,9,34,포함
송파구,잠실동,16,9,71,포함
송파구,장지동,21,18,101,포함
송파구,풍납동,34,16,66,포함
