순위,자치구,동,단지기본일련번호,아파트,준공연도,세대수,valid_type_count,representative_area_sqm,start_price_per_sqm,end_price_per_sqm,cumulative_growth,annual_growth,valid_complex_count,전체중앙값대비,KB부동산링크
1,강남구,압구정동,92,현대(신현대),1982,1924,1,84.88,1767.2007540056552,7540.056550424129,3.2666666666666666,0.1561358587625148,4,0.042449030853170644,https://kbland.kr/se/c/92
2,송파구,오금동,1908,"현대(2,3,4차)",1984,1316,1,84.98,794.3045422452342,2971.287361732172,2.7407407407407405,0.14102657899605098,4,0.02733975108670683,https://kbland.kr/se/c/1908
3,송파구,신천동,2005,장미(1차),1979,2100,1,82.45,1124.9241964827168,3850.8186779866583,2.4231805929919137,0.13094889641123508,3,0.017262068501890937,https://kbland.kr/se/c/2005
4,송파구,방이동,1940,올림픽선수기자촌,1989,5540,1,84.58,1013.8330574603925,3452.3528020808703,2.405247813411079,0.1303550327165841,3,0.01666820480723996,https://kbland.kr/se/c/1940
5,송파구,문정동,1985,올림픽훼밀리타운,1988,4494,1,84.7,891.3813459268005,2981.1097992916175,2.3443708609271523,0.12831780932228076,4,0.014630981412936617,https://kbland.kr/se/c/1985
6,서초구,반포동,21363,래미안퍼스티지,2009,2444,1,84.76,1887.6828692779611,6075.979235488438,2.21875,0.12400624616571165,5,0.010319418256367507,https://kbland.kr/se/c/21363
7,강남구,개포동,136,개포주공5단지.,1983,940,1,83.17,1499.9398821690513,4809.426475892749,2.2064128256513023,0.12357467995893945,5,0.009887852049595303,https://kbland.kr/se/c/136
8,송파구,풍납동,1873,현대(풍납),1995,708,1,84.0,669.6428571428571,2125.0,2.1733333333333333,0.12241010861270851,8,0.008723280703364367,https://kbland.kr/se/c/1873
9,강남구,일원동,132,가람,1993,496,1,84.95,1200.7062978222484,3766.921718658034,2.1372549019607843,0.1211274359773511,6,0.007440608068006949,https://kbland.kr/se/c/132
10,송파구,송파동,24993,래미안송파파인탑,2012,794,2,87.01,907.9416159062176,2815.768302493966,2.1012658227848102,0.11983464476846839,5,0.006147816859124244,https://kbland.kr/se/c/24993
11,강남구,도곡동,13886,도곡렉슬,2006,3002,2,84.92,1407.2067828544511,4298.162976919453,2.0543933054393304,0.11813050447611162,9,0.004443676566767474,https://kbland.kr/se/c/13886
12,송파구,가락동,15139,래미안파크팰리스,2007,919,1,84.88,883.6003770028276,2697.9264844486333,2.0533333333333332,0.11809169571274092,8,0.0044048678033967725,https://kbland.kr/se/c/15139
13,서초구,서초동,1666,삼풍,1988,2390,1,79.47,1396.7534918837298,4215.42720523468,2.018018018018018,0.11679171340300076,8,0.0031048854936566173,https://kbland.kr/se/c/1666
14,강남구,대치동,29017,래미안대치팰리스1단지,2015,1278,1,84.97,1718.2535012357303,5119.453924914676,1.9794520547945202,0.11535633959757474,8,0.001669511688230596,https://kbland.kr/se/c/29017
15,송파구,잠실동,2000,잠실주공(5단지),1978,3930,1,82.61,1773.3930516886576,5205.1809708267765,1.9351535836177476,0.11368682790934415,8,0.0,https://kbland.kr/se/c/2000
16,강남구,역삼동,14175,개나리푸르지오,2006,332,1,84.68,1328.5309400094472,3867.5011809163907,1.911111111111111,0.11277120301816024,8,-0.0009156248911839082,https://kbland.kr/se/c/14175
17,서초구,잠원동,28490,래미안신반포팰리스,2016,843,1,84.42,1658.374792703151,4797.441364605544,1.8928571428571428,0.11207146900350473,9,-0.0016153589058394147,https://kbland.kr/se/c/28490
