자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월
강남구,개포동,1168010300,39203,개포래미안포레스트,01,아파트,38012,86.05,59.92,A,285000.0,202607
강남구,개포동,1168010300,39203,개포래미안포레스트,01,아파트,209385,86.11,59.96,B,285000.0,202607
강남구,개포동,1168010300,48042,개포자이프레지던스,01,아파트,183566,79.52,59.97,A,297500.0,202607
강남구,개포동,1168010300,48042,개포자이프레지던스,01,아파트,151758,79.4,59.83,B,297500.0,202607
강남구,개포동,1168010300,48042,개포자이프레지던스,01,아파트,170210,79.46,59.91,C,297500.0,202607
강남구,개포동,1168010300,1090438,대치푸르지오발라드(도시형),01,아파트,1711006,88.55,59.99,B1,,202607
강남구,개포동,1168010300,1090438,대치푸르지오발라드(도시형),01,아파트,1711007,88.55,59.99,B1L,,202607
강남구,개포동,1168010300,1090438,대치푸르지오발라드(도시형),01,아파트,1711005,88.52,59.41,F,,202607
강남구,개포동,1168010300,50176,디에이치퍼스티어아이파크,01,아파트,170912,85.59,59.97,A,295000.0,202607
강남구,개포동,1168010300,50176,디에이치퍼스티어아이파크,01,아파트,184056,86.99,59.98,B,295000.0,202607
강남구,개포동,1168010300,33681,디에이치아너힐즈,01,아파트,225115,82.78,59.74,A,307500.0,202607
강남구,개포동,1168010300,33681,디에이치아너힐즈,01,아파트,227181,83.61,59.87,B,307500.0,202607
강남구,개포동,1168010300,33681,디에이치아너힐즈,01,아파트,228282,83.53,59.8,B1,307500.0,202607
강남구,개포동,1168010300,148,대청,01,아파트,93450,81.67,60.0,,226667.0,202607
강남구,개포동,1168010300,19930,우찬현대(101),01,아파트,66744,67.4,59.7,B,,202607
강남구,개포동,1168010300,32909,래미안블레스티지,01,아파트,77898,80.92,59.96,A,285000.0,202607
강남구,개포동,1168010300,32909,래미안블레스티지,01,아파트,115622,80.79,59.88,B,285000.0,202607
강남구,개포동,1168010300,32909,래미안블레스티지,01,아파트,221843,80.86,59.89,B-1,285000.0,202607
강남구,개포동,1168010300,32909,래미안블레스티지,01,아파트,222875,80.77,59.83,C,285000.0,202607
강남구,개포동,1168010300,21247,포이동새롬,01,아파트,137731,69.54,59.67,B,98400.0,202607
강남구,개포동,1168010300,21247,포이동새롬,01,아파트,159950,69.87,59.96,C,90900.0,202607
강남구,논현동,1168010800,12,거평프리젠,01,아파트,184191,81.72,59.01,A,,202607
강남구,논현동,1168010800,12,거평프리젠,01,아파트,210163,81.79,59.07,B,,202607
강남구,논현동,1168010800,12,거평프리젠,01,아파트,193630,82.93,59.89,C,,202607
강남구,논현동,1168010800,3,경남논현,01,아파트,3,79.97,59.56,,130000.0,202607
강남구,논현동,1168010800,4,쌍용,01,아파트,4,83.17,59.91,,116500.0,202607
강남구,대치동,1168010600,47442,대치르엘,01,아파트,125572,80.25,59.99,,275000.0,202607
강남구,대치동,1168010600,47442,대치르엘,01,아파트,90558,80.23,59.95,T,,202607
강남구,대치동,1168010600,31445,대치SK뷰,01,아파트,114576,80.38,59.67,,222500.0,202607
강남구,대치동,1168010600,313482,대치푸르지오써밋,01,아파트,1083616,77.65,59.98,A,,202607
강남구,대치동,1168010600,313482,대치푸르지오써밋,01,아파트,1733075,78.35,59.95,,,202607
강남구,대치동,1168010600,313482,대치푸르지오써밋,01,아파트,1083617,78.02,59.98,B,,202607
강남구,대치동,1168010600,189,대치삼성(래미안),01,아파트,185,85.68,59.88,,250000.0,202607
강남구,대치동,1168010600,14992,대치아이파크,01,아파트,14752,78.71,59.96,,305000.0,202607
강남구,대치동,1168010600,191,대치효성,01,아파트,187,78.99,59.84,,200000.0,202607
강남구,대치동,1168010600,190,대치현대,01,아파트,186,88.68,59.82,,249000.0,202607
강남구,대치동,1168010600,1682099,디에이치대치에델루이,01,아파트,4868299,80.11,59.99,A,,202607
강남구,대치동,1168010600,1682099,디에이치대치에델루이,01,아파트,4868300,80.61,59.99,D,,202607
강남구,대치동,1168010600,1682099,디에이치대치에델루이,01,아파트,4868302,81.64,59.99,B,,202607
강남구,대치동,1168010600,1682099,디에이치대치에델루이,01,아파트,4868301,81.43,59.9,E,,202607
강남구,대치동,1168010600,48626,스톤빌리지대치2차(도),01,아파트,200472,69.77,58.52,B,,202607
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,01,아파트,74436,88.15,59.99,A,330000.0,202607
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,01,아파트,27912,88.0,59.99,B,330000.0,202607
강남구,대치동,1168010600,199,세영팔레스타운,01,아파트,195,73.77,59.91,,152500.0,202607
강남구,대치동,1168010600,21798,아크로빌,01,아파트,138063,68.71,59.56,,,202607
강남구,도곡동,1168011800,175,경남,01,아파트,171,76.47,59.76,,200000.0,202607
강남구,도곡동,1168011800,175,경남,01,아파트,49519,81.86,59.76,,200000.0,202607
강남구,도곡동,1168011800,161,개포한신,01,아파트,49508,84.54,59.48,,325000.0,202607
강남구,도곡동,1168011800,176,도곡동삼성래미안,01,아파트,172,81.35,59.96,,280000.0,202607
강남구,도곡동,1168011800,1079409,도곡월드메르디앙(973),01,아파트,1696075,74.18,58.49,C-1,,202607
강남구,도곡동,1168011800,1079409,도곡월드메르디앙(973),01,아파트,1696076,76.08,58.67,B-2,,202607
강남구,도곡동,1168011800,1041635,도곡코오롱,01,아파트,1576869,75.76,59.54,D,,202607
강남구,도곡동,1168011800,1041635,도곡코오롱,01,아파트,1576866,76.33,59.99,B,,202607
강남구,도곡동,1168011800,1041635,도곡코오롱,01,아파트,1576867,76.23,59.91,C,,202607
강남구,도곡동,1168011800,159,도곡한신(MBC),01,아파트,156,79.5,58.46,,187500.0,202607
강남구,도곡동,1168011800,22461,래미안도곡카운티,01,아파트,21668,81.57,59.98,,245000.0,202607
강남구,도곡동,1168011800,19495,원팰리스.,01,아파트,106263,66.38,58.68,B,77600.0,202607
강남구,도곡동,1168011800,19495,원팰리스.,01,아파트,136826,66.39,58.7,C,,202607
강남구,도곡동,1168011800,15571,조이너스도곡,01,아파트,15316,78.68,59.96,,102400.0,202607
강남구,도곡동,1168011800,164,매봉(삼성),01,아파트,160,70.84,59.82,,187500.0,202607
강남구,도곡동,1168011800,800355,클래스원,01,아파트,1477491,69.92,59.11,,,202607
강남구,도곡동,1168011800,24337,파크힐,01,아파트,70316,70.01,58.05,,89700.0,202607
강남구,삼성동,1168010500,46915,래미안라클래시,01,아파트,193005,84.46,59.99,,322500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,13663,86.43,59.97,A,262500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,102237,86.92,59.98,B,282500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,173489,86.76,59.99,D,265000.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,156685,88.24,59.97,A1,262500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,133567,88.72,59.98,B1,282500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,61613,88.52,59.92,C,265000.0,202607
강남구,삼성동,1168010500,31920,삼성동센트럴아이파크,01,아파트,114919,85.54,59.96,,286000.0,202607
강남구,삼성동,1168010500,38,삼성동롯데,01,아파트,37,79.36,59.4,,235000.0,202607
