시작연도,종목,기간내고갈여부,고갈월,유지개월수,총인출액(원),총매수액(원),최종현금(원),최종주식평가액(원),최종잔액(원)
2002,QQQ,False,-,120,120000000.0,90000000.0,0.0,3241603.1592685026,3241603.1592685026
2002,SPY,True,2010-11,107,106934730.37935515,90000000.0,0.0,0.0,0.0
2002,SOXX,True,2009-07,91,90245366.2367601,90000000.0,0.0,5.141079685989751e-11,5.141079685989751e-11
2003,QQQ,False,-,120,120000000.0,90000000.0,0.0,27518899.708950564,27518899.708950564
2003,SPY,False,-,120,120000000.0,90000000.0,0.0,8511432.136966122,8511432.136966122
2003,SOXX,True,2012-04,112,111127269.01492976,90000000.0,0.0,0.0,0.0
2004,QQQ,False,-,120,120000000.0,90000000.0,0.0,2367018.9323915364,2367018.9323915364
2004,SPY,True,2013-02,110,109296648.86590603,90000000.0,0.0,0.0,0.0
2004,SOXX,True,2011-01,85,84897394.65728468,90000000.0,0.0,1.3352571867061629e-10,1.3352571867061629e-10
2005,QQQ,False,-,120,120000000.0,90000000.0,0.0,44267235.40147323,44267235.40147323
2005,SPY,False,-,120,120000000.0,90000000.0,0.0,8207993.59620427,8207993.59620427
2005,SOXX,True,2013-07,103,102808766.87827905,90000000.0,0.0,0.0,0.0
2006,QQQ,False,-,120,120000000.0,90000000.0,0.0,82948432.96168333,82948432.96168333
2006,SPY,False,-,120,120000000.0,90000000.0,0.0,18461334.886341956,18461334.886341956
2006,SOXX,True,2014-02,98,97641150.90145734,90000000.0,0.0,0.0,0.0
2007,QQQ,False,-,120,120000000.0,90000000.0,0.0,80312280.76469015,80312280.76469015
2007,SPY,False,-,120,120000000.0,90000000.0,0.0,10849872.530040435,10849872.530040435
2007,SOXX,True,2015-10,106,105801615.5664315,90000000.0,0.0,0.0,0.0
2008,QQQ,False,-,120,120000000.0,90000000.0,0.0,108635984.11521281,108635984.11521281
2008,SPY,False,-,120,120000000.0,90000000.0,0.0,30799698.93717793,30799698.93717793
2008,SOXX,False,-,120,120000000.0,90000000.0,0.0,62311260.893355526,62311260.893355526
2009,QQQ,False,-,120,120000000.0,90000000.0,0.0,164402453.24572372,164402453.24572372
2009,SPY,False,-,120,120000000.0,90000000.0,0.0,80715051.92647672,80715051.92647672
2009,SOXX,False,-,120,120000000.0,90000000.0,0.0,143195371.0929444,143195371.0929444
2010,QQQ,False,-,120,120000000.0,90000000.0,0.0,185570123.66733542,185570123.66733542
2010,SPY,False,-,120,120000000.0,90000000.0,0.0,98381741.09938884,98381741.09938884
2010,SOXX,False,-,120,120000000.0,90000000.0,0.0,182118098.71667963,182118098.71667963
2011,QQQ,False,-,120,120000000.0,90000000.0,0.0,224175902.8040807,224175902.8040807
2011,SPY,False,-,120,120000000.0,90000000.0,0.0,102983305.21188638,102983305.21188638
2011,SOXX,False,-,120,120000000.0,90000000.0,0.0,251033961.8057006,251033961.8057006
2012,QQQ,False,-,120,120000000.0,90000000.0,0.0,270201824.764546,270201824.764546
2012,SPY,False,-,120,120000000.0,90000000.0,0.0,136374368.01314804,136374368.01314804
2012,SOXX,False,-,120,120000000.0,90000000.0,0.0,518951675.64025635,518951675.64025635
2013,QQQ,False,-,120,120000000.0,90000000.0,0.0,196702107.95439902,196702107.95439902
2013,SPY,False,-,120,120000000.0,90000000.0,0.0,101208480.1483024,101208480.1483024
2013,SOXX,False,-,120,120000000.0,90000000.0,0.0,356400040.65873176,356400040.65873176
2014,QQQ,False,-,120,120000000.0,90000000.0,0.0,241564548.92611226,241564548.92611226
2014,SPY,False,-,120,120000000.0,90000000.0,0.0,107695989.02327375,107695989.02327375
2014,SOXX,False,-,120,120000000.0,90000000.0,0.0,470383536.86808825,470383536.86808825
2015,QQQ,False,-,120,120000000.0,90000000.0,0.0,257765664.71218154,257765664.71218154
2015,SPY,False,-,120,120000000.0,90000000.0,0.0,122440630.48661307,122440630.48661307
2015,SOXX,False,-,120,120000000.0,90000000.0,0.0,504360804.8821679,504360804.8821679
2016,QQQ,False,-,120,120000000.0,90000000.0,0.0,327351155.17955756,327351155.17955756
2016,SPY,False,-,120,120000000.0,90000000.0,0.0,157782311.6849854,157782311.6849854
2016,SOXX,False,-,120,120000000.0,90000000.0,0.0,722304227.7667842,722304227.7667842
