start_year,withdrawal_years,total_withdrawal_krw,exact_reserve_krw,required_reserve_krw,depleted_with_initial_asset,depletion_month_with_initial_asset,ending_balance_with_initial_asset_krw
2002,24,360000000.0,242243498.1799216,243000000,True,2013-09,0.0
2003,23,345000000.0,125754514.60185878,126000000,False,-,2580748437.056351
2004,22,330000000.0,162202911.8024366,163000000,False,-,913517348.7303574
2005,21,315000000.0,139678933.05859774,140000000,False,-,1530457564.288168
2006,20,300000000.0,125711863.07710767,126000000,False,-,1859114037.5703638
2007,19,285000000.0,106379828.9204131,107000000,False,-,2416553383.5318336
2008,18,270000000.0,109621764.0635486,110000000,False,-,1972538710.979755
2009,17,255000000.0,81707982.85383129,82000000,False,-,2969114748.530048
2010,16,240000000.0,89366781.44162439,90000000,False,-,2118032396.790726
2011,15,225000000.0,87950858.27344373,88000000,False,-,1822972909.8550851
2012,14,210000000.0,77045275.67602324,78000000,False,-,1893780245.1147485
2013,13,195000000.0,70738931.0135981,71000000,False,-,1790890211.277418
2014,12,180000000.0,74559866.91529164,75000000,False,-,1339149837.7377222
2015,11,165000000.0,76300732.91149901,77000000,False,-,1049270381.5690889
2016,10,150000000.0,72232956.86580348,73000000,False,-,934366989.6867788
