start_year,depleted_within_10y,depletion_month,months_survived,starting_fx,ending_fx,ending_balance,total_withdrawn
2002,True,2008-05,77,1313.5,1028.5,0.0,76710115.65827739
2003,False,-,120,1186.3,1063.24,65511267.43931811,120000000.0
2004,True,2013-06,114,1192.0,1141.45,0.0,113520543.33697924
2005,False,-,120,1035.1,1090.89,25010669.506601077,120000000.0
2006,False,-,120,1010.0,1169.26,63302681.93411107,120000000.0
2007,False,-,120,930.0,1203.73,110162508.52555545,120000000.0
2008,False,-,120,935.8,1067.42,90911488.28385645,120000000.0
2009,False,-,120,1262.0,1112.85,243402141.0919363,120000000.0
2010,False,-,120,1163.65,1155.46,190231223.11634254,120000000.0
2011,False,-,120,1130.6,1086.11,231923998.92635098,120000000.0
2012,False,-,120,1158.5,1188.59,361067757.227734,120000000.0
2013,False,-,120,1063.24,1260.18,264227392.8989322,120000000.0
2014,False,-,120,1055.25,1290.97,268997401.0219408,120000000.0
2015,False,-,120,1090.89,1477.86,303194186.3963559,120000000.0
2016,False,-,120,1169.26,1444.55,312267170.761036,120000000.0
