시작연도,매수기간(개월),매수전략,기간내고갈여부,고갈월,유지개월수,총인출액(원),총매수액(원),최종현금(원),최종주식평가액(원),최종잔액(원)
2002,0,일시매수,True,2008-05,77,76710195.97252299,100000000.0,0.0,0.0,0.0
2002,6,6개월,True,2009-05,89,88262640.83316572,95000000.0,0.0,0.0,0.0
2002,12,12개월,False,-,120,120000000.0,90000000.0,0.0,3241624.164464198,3241624.164464198
2002,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,12384576.835723186,12384576.835723186
2003,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,65511163.05863428,65511163.05863428
2003,6,6개월,False,-,120,120000000.0,95000000.0,0.0,48310474.74235674,48310474.74235674
2003,12,12개월,False,-,120,120000000.0,90000000.0,0.0,27518879.11151863,27518879.11151863
2003,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,7922821.086514032,7922821.086514032
2004,0,일시매수,True,2013-06,114,113520525.22742197,100000000.0,0.0,0.0,0.0
2004,6,6개월,True,2013-11,119,118881997.52417648,95000000.0,0.0,0.0,0.0
2004,12,12개월,False,-,120,120000000.0,90000000.0,0.0,2367007.065957137,2367007.065957137
2004,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,10862167.615436655,10862167.615436655
2005,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,25010730.344892252,25010730.344892252
2005,6,6개월,False,-,120,120000000.0,95000000.0,0.0,53078357.37642897,53078357.37642897
2005,12,12개월,False,-,120,120000000.0,90000000.0,0.0,44267271.67289327,44267271.67289327
2005,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,41955461.9173417,41955461.9173417
2006,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,63302738.17287623,63302738.17287623
2006,6,6개월,False,-,120,120000000.0,95000000.0,0.0,72601747.02467915,72601747.02467915
2006,12,12개월,False,-,120,120000000.0,90000000.0,0.0,82948437.38985823,82948437.38985823
2006,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,69568691.60757995,69568691.60757995
2007,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,110162599.9764886,110162599.9764886
2007,6,6개월,False,-,120,120000000.0,95000000.0,0.0,96740667.27072269,96740667.27072269
2007,12,12개월,False,-,120,120000000.0,90000000.0,0.0,80312255.46088184,80312255.46088184
2007,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,71422359.3025769,71422359.3025769
2008,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,90911481.62093842,90911481.62093842
2008,6,6개월,False,-,120,120000000.0,95000000.0,0.0,116418071.83390586,116418071.83390586
2008,12,12개월,False,-,120,120000000.0,90000000.0,0.0,108636084.03344749,108636084.03344749
2008,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,121935477.15796955,121935477.15796955
2009,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,243402146.54097536,243402146.54097536
2009,6,6개월,False,-,120,120000000.0,95000000.0,0.0,196227099.23345998,196227099.23345998
2009,12,12개월,False,-,120,120000000.0,90000000.0,0.0,164402375.61995628,164402375.61995628
2009,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,133262867.66616303,133262867.66616303
2010,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,190231395.72583258,190231395.72583258
2010,6,6개월,False,-,120,120000000.0,95000000.0,0.0,193300715.9298231,193300715.9298231
2010,12,12개월,False,-,120,120000000.0,90000000.0,0.0,185570160.7236713,185570160.7236713
2010,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,152300302.71080953,152300302.71080953
2011,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,231923952.69026953,231923952.69026953
2011,6,6개월,False,-,120,120000000.0,95000000.0,0.0,217272377.99717817,217272377.99717817
2011,12,12개월,False,-,120,120000000.0,90000000.0,0.0,224175923.08825088,224175923.08825088
2011,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,189729336.61698905,189729336.61698905
2012,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,361067658.108945,361067658.108945
2012,6,6개월,False,-,120,120000000.0,95000000.0,0.0,284828285.5384588,284828285.5384588
2012,12,12개월,False,-,120,120000000.0,90000000.0,0.0,270201741.8294321,270201741.8294321
2012,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,253633234.6805384,253633234.6805384
2013,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,264227278.98999843,264227278.98999843
2013,6,6개월,False,-,120,120000000.0,95000000.0,0.0,224224748.15230346,224224748.15230346
2013,12,12개월,False,-,120,120000000.0,90000000.0,0.0,196702154.5373803,196702154.5373803
2013,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,162550110.79072154,162550110.79072154
2014,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,268997529.38844174,268997529.38844174
2014,6,6개월,False,-,120,120000000.0,95000000.0,0.0,264427287.6344266,264427287.6344266
2014,12,12개월,False,-,120,120000000.0,90000000.0,0.0,241564556.64369917,241564556.64369917
2014,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,191412912.59275684,191412912.59275684
2015,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,303194151.84560424,303194151.84560424
2015,6,6개월,False,-,120,120000000.0,95000000.0,0.0,280746798.52775705,280746798.52775705
2015,12,12개월,False,-,120,120000000.0,90000000.0,0.0,257765719.32972878,257765719.32972878
2015,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,237795896.50304648,237795896.50304648
2016,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,312267393.48905784,312267393.48905784
2016,6,6개월,False,-,120,120000000.0,95000000.0,0.0,336898547.996087,336898547.996087
2016,12,12개월,False,-,120,120000000.0,90000000.0,0.0,327351205.87871075,327351205.87871075
2016,24,24개월,False,-,120,120000000.0,80999999.99999997,0.0,277476070.13325053,277476070.13325053
