시작연도,매수방식,기간내고갈여부,고갈월,유지개월수,총인출액(원),총매수액(원),최종현금(원),최종주식평가액(원),최종잔액(원)
2002,일시매수,True,2008-05,77,76710160.71780403,100000000.0,0.0,0.0,0.0
2002,분할매수,False,-,120,120000000.0,90000000.0,0.0,3241590.056393613,3241590.056393613
2003,일시매수,False,-,120,120000000.0,100000000.0,0.0,65511259.85539182,65511259.85539182
2003,분할매수,False,-,120,120000000.0,90000000.0,0.0,27518908.51116895,27518908.51116895
2004,일시매수,True,2013-06,114,113520477.44944023,100000000.0,0.0,0.0,0.0
2004,분할매수,False,-,120,120000000.0,90000000.0,0.0,2367021.480764981,2367021.480764981
2005,일시매수,False,-,120,120000000.0,100000000.0,0.0,25010838.938294433,25010838.938294433
2005,분할매수,False,-,120,120000000.0,90000000.0,0.0,44267271.88369333,44267271.88369333
2006,일시매수,False,-,120,120000000.0,100000000.0,0.0,63302905.684715055,63302905.684715055
2006,분할매수,False,-,120,120000000.0,90000000.0,0.0,82948472.35876988,82948472.35876988
2007,일시매수,False,-,120,120000000.0,100000000.0,0.0,110162396.17094758,110162396.17094758
2007,분할매수,False,-,120,120000000.0,90000000.0,0.0,80312250.4816191,80312250.4816191
2008,일시매수,False,-,120,120000000.0,100000000.0,0.0,90911400.5307737,90911400.5307737
2008,분할매수,False,-,120,120000000.0,90000000.0,0.0,108636041.77302007,108636041.77302007
2009,일시매수,False,-,120,120000000.0,100000000.0,0.0,243402364.89648193,243402364.89648193
2009,분할매수,False,-,120,120000000.0,90000000.0,0.0,164402493.28125146,164402493.28125146
2010,일시매수,False,-,120,120000000.0,100000000.0,0.0,190231304.45172906,190231304.45172906
2010,분할매수,False,-,120,120000000.0,90000000.0,0.0,185570165.05420697,185570165.05420697
2011,일시매수,False,-,120,120000000.0,100000000.0,0.0,231923840.91048768,231923840.91048768
2011,분할매수,False,-,120,120000000.0,90000000.0,0.0,224175874.63011825,224175874.63011825
2012,일시매수,False,-,120,120000000.0,100000000.0,0.0,361067599.4759661,361067599.4759661
2012,분할매수,False,-,120,120000000.0,90000000.0,0.0,270201756.1620568,270201756.1620568
2013,일시매수,False,-,120,120000000.0,100000000.0,0.0,264227217.4609048,264227217.4609048
2013,분할매수,False,-,120,120000000.0,90000000.0,0.0,196702068.06292272,196702068.06292272
2014,일시매수,False,-,120,120000000.0,100000000.0,0.0,268997647.9166226,268997647.9166226
2014,분할매수,False,-,120,120000000.0,90000000.0,0.0,241564564.53482333,241564564.53482333
2015,일시매수,False,-,120,120000000.0,100000000.0,0.0,303194088.7780655,303194088.7780655
2015,분할매수,False,-,120,120000000.0,90000000.0,0.0,257765727.95141977,257765727.95141977
2016,일시매수,False,-,120,120000000.0,100000000.0,0.0,312267332.6366543,312267332.6366543
2016,분할매수,False,-,120,120000000.0,90000000.0,0.0,327351141.65354687,327351141.65354687
