start_year,withdrawal_months,total_withdrawal_krw,exact_reserve_krw,required_reserve_krw,depleted_with_initial_asset,depletion_month_with_initial_asset,ending_balance_with_initial_asset_krw,waiting_interest_with_initial_asset_krw
2002,295,368750000.0,165067295.90183225,166000000,False,-,163293395.99309972,3531515.6654382306
2003,283,353750000.0,138352175.13464198,139000000,False,-,1099661356.7108438,3384748.411349595
2004,271,338750000.0,154383337.39066195,155000000,False,-,444713503.2256643,2992551.730793221
2005,259,323750000.0,130919423.0816715,131000000,False,-,1180658752.4972944,2582471.261571919
2006,247,308750000.0,116539506.71186185,117000000,False,-,1616237088.7439256,3169202.0188973267
2007,235,293750000.0,111885671.8197391,112000000,False,-,1580536670.5362792,3678311.3596932413
2008,223,278750000.0,105809858.09465773,106000000,False,-,1648064994.8577912,4109323.4288820405
2009,211,263750000.0,86743594.6981429,87000000,False,-,2184207294.592438,2204317.12304309
2010,199,248750000.0,88887888.02951984,89000000,False,-,1741218709.4996555,1995020.1552581172
2011,187,233750000.0,86730235.29324473,87000000,False,-,1546232725.584534,2361118.508415417
2012,175,218750000.0,84520332.72297247,85000000,False,-,1345952317.4041207,2582491.998345797
2013,163,203750000.0,76845434.39366691,77000000,False,-,1320667198.860879,2053154.2398398842
2014,151,188750000.0,77287406.55850528,78000000,False,-,1062635866.7276595,1932779.3849457668
2015,139,173750000.0,80344585.30844228,81000000,False,-,813191894.1449863,1424573.0464153201
2016,127,158750000.0,71649997.56905787,72000000,False,-,818411922.4928719,1159197.562440462
