strategy,month_number,actual_withdrawal_krw,tax_paid_krw,ending_balance_krw,us_core_value_krw,us_core_principal_krw,us_core_gain_krw,isa_principal_krw,isa_gain_krw,pension_principal_krw,pension_gain_krw,general_krw,us_excess_krw
계좌순,0,0.0,0.0,400000000.0,25000000.0,25000000.0,0.0,100000000.0,0.0,18000000.0,0.0,200000000.0,57000000.0
계좌순,1,5000000.0,0.0,397735130.16711396,25199353.510722592,25000000.0,199353.51072259247,100000000.0,797414.0428903699,18000000.0,143534.52772026882,201594828.08578074,52000000.0
계좌순,2,5000000.0,0.0,395492070.6462719,25400296.694334686,25000000.0,400296.6943346858,100000000.0,1601186.7773387432,18000000.0,288213.61992097273,203202373.5546775,47000000.0
계좌순,3,5000000.0,0.0,393270995.35596466,25602842.227111127,25000000.0,602842.2271111272,100000000.0,2411368.908444509,18000000.0,434046.4035200104,204822737.81688902,42000000.0
계좌순,4,5000000.0,0.0,391072079.601534,25807002.886409182,25000000.0,807002.8864091821,100000000.0,3228011.5456367284,18000000.0,581042.0782146081,206456023.09127346,37000000.0
계좌순,5,5000000.0,0.0,388895500.08623064,26012791.551474534,25000000.0,1012791.551474534,100000000.0,4051166.205898136,18000000.0,729209.9170616642,208102332.41179627,32000000.0
계좌순,6,5000000.0,0.0,386741434.92236197,26220221.20425379,25000000.0,1220221.204253789,100000000.0,4880884.817015156,18000000.0,878559.2670627311,209761769.6340303,27000000.0
계좌순,7,5000000.0,0.0,384610063.6425283,26429304.930213433,25000000.0,1429304.9302134328,100000000.0,5717219.720853731,18000000.0,1029099.5497536696,211434439.44170746,22000000.0
계좌순,8,5000000.0,0.0,382501567.2109476,26640055.919165272,25000000.0,1640055.9191652723,100000000.0,6560223.676661089,18000000.0,1180840.2617989965,213120447.35332218,17000000.0
계좌순,9,5000000.0,0.0,380416128.03487206,26852487.466098547,25000000.0,1852487.466098547,100000000.0,7409949.864394188,18000000.0,1333790.9755909517,214819899.72878838,12000000.0
계좌순,10,5000000.0,0.0,378353929.97609514,27066612.972018596,25000000.0,2066612.9720185958,100000000.0,8266451.888074383,18000000.0,1487961.3398533873,216532903.77614877,7000000.0
계좌순,11,5000000.0,0.0,376315158.3625498,27282445.94479226,25000000.0,2282445.9447922595,100000000.0,9129783.779169038,18000000.0,1643361.0802504271,218259567.55833808,2000000.0
계좌순,12,5000000.0,70993.9148073024,374001825.5578094,24999999.999999996,22727272.72727272,2272727.272727277,100000000.0,10000000.00000003,36000000.0,1800000.0000000075,198701825.55780938,2500000.0000000075
계좌순,13,5000000.0,38348.21732432814,371925885.06707716,25199353.510722592,22727272.72727272,2472080.7834498733,100000000.0,10877155.447179437,36000000.0,2101422.5082125664,197747953.60096258,0.0
계좌순,14,5000000.0,82366.5292839168,369809307.77446246,25400296.694334682,22727272.72727272,2673023.967061963,100000000.0,11761305.455072641,36000000.0,2405248.601834044,194242457.02322108,0.0
계좌순,15,5000000.0,88004.29716741512,367670214.8294043,25602842.227111127,22727272.72727272,2875569.499838408,100000000.0,12652505.799289003,36000000.0,2711497.4473920316,190703369.35561216,0.0
계좌순,16,5000000.0,93609.83766170127,365508458.91631746,25807002.88640918,22727272.72727272,3079730.159136459,100000000.0,13550812.700200424,36000000.0,3020188.3642506823,187130454.9654572,0.0
계좌순,17,5000000.0,99183.25101797747,363323891.44465053,26012791.551474534,22727272.72727272,3285518.824201815,100000000.0,14456282.826487988,36000000.0,3331340.825829506,183523476.24085847,0.0
계좌순,18,5000000.0,104724.63835666243,361116362.5378492,26220221.20425379,22727272.72727272,3492948.47698107,100000000.0,15368973.298716709,36000000.0,3644974.460831739,179882193.57404697,0.0
계좌순,19,5000000.0,110234.10164809032,358885721.0222528,26429304.93021343,22727272.72727272,3702032.20294071,100000000.0,16288941.692939132,36000000.0,3961109.0544827133,176206365.34461758,0.0
계좌순,20,5000000.0,115711.7436933424,356631814.4159194,26640055.919165272,22727272.72727272,3912783.191892553,100000000.0,17216246.04432723,36000000.0,4279764.549777895,172495747.902649,0.0
계좌순,21,5000000.0,121157.66810521657,354354488.91738147,26852487.466098543,22727272.72727272,4125214.738825824,100000000.0,18150944.85083364,36000000.0,4600961.048741013,168750095.55170828,0.0
계좌순,22,5000000.0,126571.9792893347,352053589.39433175,27066612.972018592,22727272.72727272,4339340.244745873,100000000.0,19093097.076881856,36000000.0,4924718.813692123,164969160.53173918,0.0
계좌순,23,5000000.0,131954.78242538963,349728959.3722363,27282445.944792252,22727272.72727272,4555173.217519533,100000000.0,20042762.157085955,36000000.0,5251058.268525898,161152693.00183222,0.0
계좌순,24,5000000.0,137306.1834485339,346886138.76246166,25000000.0,20661157.02479338,4338842.975206621,100000000.0,21000000.00000006,54000000.0,5580000.000000015,138806138.7624616,2500000.0000000037
계좌순,25,5000000.0,71313.14451545505,344561009.05020607,25199353.5107226,20661157.02479338,4538196.485929221,100000000.0,21964870.991897434,54000000.0,6055099.286754109,137341685.26083195,0.0
계좌순,26,5000000.0,147915.20656332732,342160671.71613383,25400296.694334686,20661157.02479338,4739139.669541307,100000000.0,22937436.00057994,54000000.0,6533987.081938438,133288951.93928078,0.0
계좌순,27,5000000.0,153173.0441370813,339735935.91750926,25602842.22711113,20661157.02479338,4941685.202317752,100000000.0,23917756.379217938,54000000.0,7016693.5956512615,129198643.71552894,0.0
