경과월,미국계좌 공제분,ISA원금,ISA수익금,연금저축원금,연금저축수익금,국내일반계좌,미국계좌 과세분,총평가액,당월실수령액,당월납부세금
0,25000000,100000000,0,18000000,0,200000000,57000000,400000000,0,0
1,25199354,100000000,66451,18000000,0,200000000,52000000,395265805,5000000,0
2,25400297,100000000,399237,18000000,0,200000000,47000000,390799534,5000000,0
3,25602842,100000000,1000481,18000000,0,200000000,42000000,386603323,5000000,0
4,25807003,100000000,1805873,18000000,66451,200000000,37000000,382679327,5000000,0
5,26012792,100000000,2617687,18000000,210516,200188721,32000000,379029716,5000000,0
6,26220221,100000000,3435975,18000000,355729,200644752,27000000,375656677,5000000,0
7,26429305,100000000,4260788,18000000,502100,201370224,22000000,372562417,5000000,0
8,26640056,100000000,5092178,18000000,649638,202367286,17000000,369749159,5000000,0
9,26852487,100000000,5930198,18000000,798353,203638103,12000000,367219142,5000000,0
10,34066613,100000000,6774900,18000000,948254,205184859,0,364974626,5000000,0
11,34338265,100000000,7626338,18000000,1099350,201795507,0,362859460,5000000,25525
12,25000000,100000000,8484566,36000000,1251651,180259833,9612083,360608133,5000000,31482
13,25199354,100000000,9349637,36000000,1548701,181697250,4612083,358407025,5000000,0
14,25400297,100000000,10221607,36000000,1848119,182754854,0,356224876,5000000,3359
15,25602842,100000000,11100529,36000000,2149926,179163009,0,354016306,5000000,49158
16,25807003,100000000,11986460,36000000,2454138,175536696,0,351784298,5000000,54984
17,26012792,100000000,12879456,36000000,2760777,171875674,0,349528698,5000000,60777
18,26220221,100000000,13779573,36000000,3069861,168179697,0,347249352,5000000,66537
19,26429305,100000000,14686867,36000000,3381410,164448521,0,344946102,5000000,72265
20,26640056,100000000,15601396,36000000,3695442,160681896,0,342618791,5000000,77960
21,26852487,100000000,16523218,36000000,4011979,156879573,0,340267258,5000000,83623
22,27066613,100000000,17452390,36000000,4331041,153041299,0,337891343,5000000,89254
23,27282446,100000000,18388972,36000000,4652646,149166820,0,335490884,5000000,94852
24,25000000,100000000,19333023,54000000,4976816,126894372,2500000,332704210,5000000,100418
25,25199354,100000000,20284601,54000000,5447105,125353269,0,330284329,5000000,52976
