start_year,strategy,date,actual_withdrawal_krw,tax_paid_krw,ending_balance_krw
2002,세전 기준,2001-12-31,0.0,0.0,400000000.0
2002,세전 기준,2002-01-31,4000000.0,0.0,395679940.4619381
2002,세전 기준,2002-02-28,4000000.0,0.0,383947076.46404994
2002,세전 기준,2002-03-31,4000000.0,0.0,386308823.68166125
2002,세전 기준,2002-04-30,4000000.0,0.0,363714646.0386509
2002,세전 기준,2002-05-31,4000000.0,0.0,343917912.0531225
2002,세전 기준,2002-06-30,4000000.0,0.0,316748354.99531925
2002,세전 기준,2002-07-31,4000000.0,0.0,294837086.38566095
2002,세전 기준,2002-08-31,4000000.0,0.0,290958474.58746517
2002,세전 기준,2002-09-30,4000000.0,0.0,264888344.7477038
2002,세전 기준,2002-10-31,4000000.0,0.0,303346736.53322
2002,세전 기준,2002-11-30,4000000.0,0.0,331436353.50000274
2002,세전 기준,2002-12-31,4000000.0,0.0,284367642.7265451
2002,세전 기준,2003-01-31,4000000.0,0.0,276063899.1497849
2002,세전 기준,2003-02-28,4000000.0,0.0,287198138.5878917
2002,세전 기준,2003-03-31,4000000.0,0.0,298302157.98462725
2002,세전 기준,2003-04-30,4000000.0,0.0,310838658.24121714
2002,세전 기준,2003-05-31,4000000.0,0.0,331809991.04662
2002,세전 기준,2003-06-30,4000000.0,0.0,325732491.5280304
2002,세전 기준,2003-07-31,4000000.0,0.0,337515056.46480024
2002,세전 기준,2003-08-31,4000000.0,0.0,348590406.4981755
2002,세전 기준,2003-09-30,4000000.0,0.0,327319965.82974803
2002,세전 기준,2003-10-31,4000000.0,0.0,361623139.7397314
2002,세전 기준,2003-11-30,4000000.0,0.0,365238587.6451911
2002,세전 기준,2003-12-31,4000000.0,0.0,369371312.1463983
2002,세전 기준,2004-01-31,4000000.0,0.0,365879809.29034626
2002,세전 기준,2004-02-29,4000000.0,0.0,358482179.5752739
2002,세전 기준,2004-03-31,4000000.0,0.0,337701246.91287947
2002,세전 기준,2004-04-30,4000000.0,0.0,331304765.92318475
2002,세전 기준,2004-05-31,4000000.0,0.0,341713239.9221102
2002,세전 기준,2004-06-30,4000000.0,0.0,346113233.7467859
2002,세전 기준,2004-07-31,4000000.0,0.0,319850991.36951005
2002,세전 기준,2004-08-31,4000000.0,0.0,303077156.3574605
2002,세전 기준,2004-09-30,4000000.0,0.0,309055131.13246226
2002,세전 기준,2004-10-31,4000000.0,0.0,311519317.1748518
2002,세전 기준,2004-11-30,4000000.0,0.0,305030121.18180203
2002,세전 기준,2004-12-31,4000000.0,0.0,306381057.30527496
2002,세전 기준,2005-01-31,4000000.0,0.0,280752493.17249686
2002,세전 기준,2005-02-28,4000000.0,0.0,268326958.7199598
2002,세전 기준,2005-03-31,4000000.0,0.0,263473572.59564647
2002,세전 기준,2005-04-30,4000000.0,0.0,243451449.64504698
2002,세전 기준,2005-05-31,4000000.0,0.0,263153257.2185939
2002,세전 기준,2005-06-30,4000000.0,0.0,257872152.28001198
2002,세전 기준,2005-07-31,4000000.0,0.0,271357633.8647757
2002,세전 기준,2005-08-31,4000000.0,0.0,266498219.68373084
2002,세전 기준,2005-09-30,4000000.0,0.0,266662629.06880832
2002,세전 기준,2005-10-31,4000000.0,0.0,258952702.50324762
2002,세전 기준,2005-11-30,4000000.0,0.0,269135607.35462713
2002,세전 기준,2005-12-31,4000000.0,0.0,253372903.93936077
2002,세전 기준,2006-01-31,4000000.0,0.0,246018746.82776883
2002,세전 기준,2006-02-28,4000000.0,0.0,239759822.30002034
2002,세전 기준,2006-03-31,4000000.0,0.0,240899336.8585964
2002,세전 기준,2006-04-30,4000000.0,0.0,229360646.78154796
2002,세전 기준,2006-05-31,4000000.0,0.0,209318647.6993883
2002,세전 기준,2006-06-30,4000000.0,0.0,205898005.69222096
2002,세전 기준,2006-07-31,4000000.0,0.0,194358481.0144095
2002,세전 기준,2006-08-31,4000000.0,0.0,200953225.82636154
2002,세전 기준,2006-09-30,4000000.0,0.0,202972941.6915019
2002,세전 기준,2006-10-31,4000000.0,0.0,207755659.53849667
2002,세전 기준,2006-11-30,4000000.0,0.0,207868791.84075782
2002,세전 기준,2006-12-31,4000000.0,0.0,200183079.6034519
2002,세전 기준,2007-01-31,4000000.0,0.0,202821506.76959172
2002,세전 기준,2007-02-28,4000000.0,0.0,195691282.22635475
2002,세전 기준,2007-03-31,4000000.0,0.0,192467861.5538881
2002,세전 기준,2007-04-30,4000000.0,0.0,197031268.057455
2002,세전 기준,2007-05-31,4000000.0,0.0,198461524.20795828
2002,세전 기준,2007-06-30,4000000.0,0.0,194380454.10358566
2002,세전 기준,2007-07-31,4000000.0,0.0,189337234.05162632
2002,세전 기준,2007-08-31,4000000.0,0.0,194721259.02966318
2002,세전 기준,2007-09-30,4000000.0,0.0,195595773.77989608
2002,세전 기준,2007-10-31,4000000.0,0.0,202985139.34628898
2002,세전 기준,2007-11-30,4000000.0,0.0,188972434.44579378
2002,세전 기준,2007-12-31,4000000.0,0.0,187893004.63577074
2002,세전 기준,2008-01-31,4000000.0,0.0,162897224.93692234
2002,세전 기준,2008-02-29,4000000.0,0.0,150929929.93220815
2002,세전 기준,2008-03-31,4000000.0,0.0,157225019.0765784
2002,세전 기준,2008-04-30,4000000.0,0.0,168592184.3065918
2002,세전 기준,2008-05-31,4000000.0,0.0,178767339.5407219
2002,세전 기준,2008-06-30,4000000.0,0.0,160453732.1535212
2002,세전 기준,2008-07-31,4000000.0,0.0,152038316.91850704
2002,세전 기준,2008-08-31,4000000.0,0.0,162063827.8463098
2002,세전 기준,2008-09-30,4000000.0,0.0,147557714.83028477
2002,세전 기준,2008-10-31,4000000.0,0.0,128090040.22378515
2002,세전 기준,2008-11-30,4000000.0,0.0,126319101.02555111
2002,세전 기준,2008-12-31,4000000.0,0.0,107066220.04310183
2002,세전 기준,2009-01-31,4000000.0,0.0,110400183.98758762
2002,세전 기준,2009-02-28,4000000.0,0.0,112168094.98521957
2002,세전 기준,2009-03-31,4000000.0,0.0,106783051.78529166
2002,세전 기준,2009-04-30,4000000.0,0.0,108345515.37684213
2002,세전 기준,2009-05-31,4000000.0,0.0,105370368.89520414
2002,세전 기준,2009-06-30,4000000.0,0.0,106609840.86945218
2002,세전 기준,2009-07-31,4000000.0,0.0,106949336.67970403
2002,세전 기준,2009-08-31,4000000.0,0.0,106812543.80376485
2002,세전 기준,2009-09-30,4000000.0,0.0,102244570.50654753
2002,세전 기준,2009-10-31,4000000.0,0.0,95713358.51217492
2002,세전 기준,2009-11-30,4000000.0,0.0,96273296.60814472
2002,세전 기준,2009-12-31,4000000.0,0.0,97216951.75854339
