start_year,strategy,depleted_within_period,depletion_month,months_survived,total_withdrawn_krw,taxes_paid_krw,ending_balance_krw,pre_liquidation_balance_krw
2002,세전 기준,False,-,120,480000000.0,0.0,12966368.462623302,12966368.462623302
2002,미국계좌,True,2011-12,120,479816603.19808125,10909324.181742506,0.0,0.0
2002,절세계좌,True,2011-12,120,478922790.2690516,9011609.744411001,0.0,0.0
2003,세전 기준,False,-,120,480000000.0,0.0,110075594.42495728,110075594.42495728
2003,미국계좌,False,-,120,480000000.0,19695967.674397442,75455314.92141953,85503154.01973014
2003,절세계좌,False,-,120,480000000.0,9857167.072335519,80808766.7280679,88654427.85559022
2004,세전 기준,False,-,120,480000000.0,0.0,9468061.498984182,9468061.498984182
2004,미국계좌,True,2013-11,119,472446734.70085204,12668688.353843462,0.0,0.0
2004,절세계좌,True,2013-12,120,476938064.52811754,9056148.14007588,0.0,0.0
2005,세전 기준,False,-,120,480000000.0,0.0,177068776.30188203,177068776.30188203
2005,미국계좌,False,-,120,480000000.0,22112725.38456066,122308641.03703706,143542843.80857846
2005,절세계좌,False,-,120,480000000.0,12140840.249547677,140050202.0635857,156443549.40230536
2006,세전 기준,False,-,120,480000000.0,0.0,331793734.33754706,331793734.33754706
2006,미국계좌,False,-,120,480000000.0,30448719.205511726,237448610.81540036,282471578.95998317
2006,절세계좌,False,-,120,480000000.0,16316555.29022054,273138603.93348193,301743247.0243988
2007,세전 기준,False,-,120,480000000.0,0.0,321249136.39982563,321249136.39982563
2007,미국계좌,False,-,120,480000000.0,31619316.002581578,229710243.426871,272727242.76637846
2007,절세계좌,False,-,120,480000000.0,15932252.909546148,263033259.22300702,291163850.8679585
2008,세전 기준,False,-,120,480000000.0,0.0,434543860.5786231,434543860.5786231
2008,미국계좌,False,-,120,480000000.0,37298339.92300169,312865566.5572756,374447127.697488
2008,절세계좌,False,-,120,480000000.0,19172301.758078802,368637262.7042428,406264680.26353705
2009,세전 기준,False,-,120,480000000.0,0.0,657610140.8360122,657610140.8360122
2009,미국계좌,False,-,120,480000000.0,47323128.793588124,485752176.6327661,583897610.479189
2009,절세계좌,False,-,120,480000000.0,25895143.701145705,554800456.4254181,607959285.3732835
2010,세전 기준,False,-,120,480000000.0,0.0,742280703.5564164,742280703.5564164
2010,미국계좌,False,-,120,480000000.0,45425380.94060419,542141224.172161,658089009.0237048
2010,절세계좌,False,-,120,480000000.0,23932198.919423897,624861536.5555693,688122301.6649086
2011,세전 기준,False,-,120,480000000.0,0.0,896703623.5251826,896703623.5251826
2011,미국계좌,False,-,120,480000000.0,46175838.197002605,651801253.1473646,797928332.504747
2011,절세계좌,False,-,120,480000000.0,26106009.444186535,755650472.9127373,833396397.2592951
2012,세전 기준,False,-,120,480000000.0,0.0,1080807139.7886155,1080807139.7886155
2012,미국계좌,False,-,120,480000000.0,47955039.44572648,781717581.8245156,964180408.3661484
2012,절세계좌,False,-,120,480000000.0,29589823.146648053,909715397.2927841,1004439619.9066325
2013,세전 기준,False,-,120,480000000.0,0.0,786808701.4663562,786808701.4663562
2013,미국계좌,False,-,120,480000000.0,51954740.68627476,586317154.0551888,708195456.8203775
2013,절세계좌,False,-,120,480000000.0,31965124.798549015,663174659.464291,724452429.1845303
2014,세전 기준,False,-,120,480000000.0,0.0,966258466.2064607,966258466.2064607
2014,미국계좌,False,-,120,480000000.0,50109937.07895986,709844931.9261422,868409206.4160943
2014,절세계좌,False,-,120,480000000.0,28209879.83071854,818640101.2621862,901038060.8057708
2015,세전 기준,False,-,120,480000000.0,0.0,1031062942.1158928,1031062942.1158928
2015,미국계좌,False,-,120,480000000.0,47588415.006362595,754242889.9176421,927851187.452153
2015,절세계좌,False,-,120,480000000.0,28248364.704304095,873940400.7947005,963941829.7585409
2016,세전 기준,False,-,120,480000000.0,0.0,1309404645.407699,1309404645.407699
2016,미국계좌,False,-,120,480000000.0,54034793.282929115,962688309.6396824,1188642526.7679458
2016,절세계좌,False,-,120,480000000.0,32328511.659334507,1115744285.5877788,1229835665.4415398
