가격순위,자치구,거래건수,중위가격_만원_㎡,기간_CAGR,상승률순위
1,강남구,6706,1236.4242057607994,0.07559715672563017,7
2,서초구,4842,1032.0787282260394,0.06762956667773623,11
3,용산구,2420,842.5091758425092,0.0753419853230386,8
4,송파구,7513,834.1114223467164,0.08415209546691105,1
5,마포구,4272,714.0726119772236,0.08000060277042254,2
6,광진구,2289,708.2152974504249,0.07602006241938142,6
7,성동구,4029,694.4444444444445,0.07845398970866935,4
8,중구,1432,677.6861317212101,0.05717877784027392,13
9,동작구,4616,676.8289117670859,0.07501572901298736,9
10,종로구,832,646.9075600565238,0.04342637780364966,22
11,강동구,5802,645.1612903225807,0.06999046419687205,10
12,영등포구,4662,601.6722229379673,0.07933557878077879,3
13,강서구,7124,574.3203563129289,0.05953032736474628,12
14,양천구,5628,570.8535166724671,0.07712089814758305,5
15,서대문구,3492,539.4593627809174,0.05640362515768316,14
16,동대문구,3855,533.1452750352609,0.055930284044928724,16
17,성북구,5198,526.0680240084736,0.05396493038724537,17
18,관악구,3354,519.6078431372549,0.05112030135253698,19
19,은평구,3768,507.7659027671037,0.047624707906102515,20
20,구로구,5652,488.35020004706985,0.05609160140831371,15
21,노원구,10930,482.49701406938675,0.053490156464947924,18
22,강북구,1952,468.50065150871853,0.046189023986496824,21
23,중랑구,3213,464.1199571581578,0.03958531626849915,23
24,금천구,1728,435.4136429608127,0.03787044051263688,24
25,도봉구,4776,422.9477983265907,0.03746036329521041,25
