거래금액_만원,전용면적_㎡,계약연도,계약월,계약일,법정동,아파트,층,건축연도,해제여부,자치구코드,자치구,계약년월,㎡당_실거래가격_만원
20000,59.67,2016,1,29,창신동,창림,1,1994,,11110,종로구,201601,335.176805765041
30800,54.7,2016,1,16,창신동,창신쌍용1,13,1992,,11110,종로구,201601,563.071297989031
64500,84.9,2016,1,20,명륜2가,아남1,20,1995,,11110,종로구,201601,759.7173144876325
54800,84.9,2016,1,12,명륜2가,아남1,1,1995,,11110,종로구,201601,645.4652532391048
47800,84.7,2016,1,23,인의동,효성쥬얼리시티,14,2006,,11110,종로구,201601,564.344746162928
119000,151.81,2016,1,8,사직동,광화문스페이스본(101동~105동),10,2008,,11110,종로구,201601,783.8745800671892
56990,84.92,2016,1,13,무악동,현대,18,2000,,11110,종로구,201601,671.1022138483278
25500,59.63,2016,1,4,연건동,(60-1),1,1999,,11110,종로구,201601,427.6370954217675
84500,94.51,2016,1,15,사직동,광화문스페이스본(101동~105동),2,2008,,11110,종로구,201601,894.0852819807427
50200,65.78,2016,1,24,명륜2가,명륜동주상복합아남아파트,7,1999,,11110,종로구,201601,763.1498935846762
41000,58.78,2016,1,29,익선동,현대뜨레비앙,7,2003,,11110,종로구,201601,697.5161619598503
105000,140.78,2016,1,9,내수동,경희궁의아침2단지,3,2004,,11110,종로구,201601,745.8445801960505
57970,84.92,2016,1,21,무악동,현대,19,2000,,11110,종로구,201601,682.6424870466321
51900,84.92,2016,1,23,숭인동,종로센트레빌,8,2008,,11110,종로구,201601,611.1634479510127
64000,111.73,2016,1,13,숭인동,롯데캐슬천지인,20,2004,,11110,종로구,201601,572.8094513559473
49800,84.92,2016,1,30,숭인동,종로센트레빌,1,2008,,11110,종로구,201601,586.4342910975035
59800,114.67,2016,1,13,숭인동,종로센트레빌,12,2008,,11110,종로구,201601,521.4964681259265
52000,84.92,2016,1,24,숭인동,종로센트레빌,9,2008,,11110,종로구,201601,612.3410268487988
39000,59.95,2016,1,8,창신동,두산,19,1999,,11110,종로구,201601,650.5421184320267
12400,15.855,2016,1,28,숭인동,종로동광모닝스카이,12,2013,,11110,종로구,201601,782.087669504888
45800,84.81,2016,1,11,창신동,브라운스톤창신,11,2006,,11110,종로구,201601,540.0306567621742
49000,84.9478,2016,1,27,숭인동,종로청계힐스테이트,1,2009,,11110,종로구,201601,576.8248265405343
43000,59.9426,2016,1,23,숭인동,종로청계힐스테이트,10,2009,,11110,종로구,201601,717.3529343071539
34500,79.87,2016,1,14,창신동,창신쌍용2,14,1993,,11110,종로구,201601,431.95192187304366
29400,54.7,2016,1,2,창신동,창신쌍용1,8,1992,,11110,종로구,201601,537.4771480804387
56790,84.92,2016,1,11,무악동,현대,17,2000,,11110,종로구,201601,668.7470560527555
17300,16.98,2016,1,27,연건동,이화에수풀,7,2014,,11110,종로구,201601,1018.8457008244994
14400,30.46,2016,1,18,평창동,갑을아파트,8,1997,,11110,종로구,201601,472.7511490479317
43500,59.36,2016,1,12,명륜2가,명륜동주상복합아남아파트,3,1999,,11110,종로구,201601,732.8167115902964
121000,145.96,2016,1,5,내수동,경희궁의아침4단지,13,2004,,11110,종로구,201601,828.9942449986297
71700,84.858,2016,1,10,무악동,인왕산아이파크,12,2008,,11110,종로구,201601,844.9409601923212
41900,59.9426,2016,1,9,숭인동,종로청계힐스테이트,5,2009,,11110,종로구,201601,699.0020452899942
26100,48.54,2016,1,19,익선동,현대뜨레비앙,7,2003,,11110,종로구,201601,537.7008652657602
30000,48.54,2016,1,15,익선동,현대뜨레비앙,9,2003,,11110,종로구,201601,618.0469715698393
80000,94.28,2016,1,18,사직동,광화문스페이스본(101동~105동),12,2008,,11110,종로구,201601,848.5362749257531
28800,59.97,2016,1,20,평창동,삼성,2,1998,,11110,종로구,201601,480.24012006003005
16500,16.98,2016,1,18,연건동,이화에수풀,4,2014,,11110,종로구,201601,971.7314487632509
79000,187.9,2016,1,14,평창동,크래스빌,4,2003,,11110,종로구,201601,420.4364023416711
24000,54.7,2016,1,5,창신동,창신쌍용2,3,1993,,11110,종로구,201601,438.75685557586837
30300,54.7,2016,1,12,창신동,창신쌍용1,11,1992,,11110,종로구,201601,553.9305301645338
39500,84.98,2016,1,7,평창동,삼성,8,1998,,11110,종로구,201601,464.8152506472111
15000,22.17,2016,1,10,충신동,CS타워,9,2011,,11110,종로구,201601,676.5899864682002
19000,19.86,2016,1,7,연건동,이화에수풀,6,2014,,11110,종로구,201601,956.6968781470292
17500,16.98,2016,1,5,연건동,이화에수풀,11,2014,,11110,종로구,201601,1030.6242638398114
83000,107.91,2016,1,4,사직동,광화문스페이스본(101동~105동),14,2008,,11110,종로구,201601,769.159484755815
139000,200.331,2016,2,29,평창동,롯데캐슬로잔,4,2009,,11110,종로구,201602,693.8516754770855
56500,84.9,2016,2,21,창신동,두산,17,1999,,11110,종로구,201602,665.4888103651355
99500,158.99,2016,2,26,사직동,광화문스페이스본(101동~105동),2,2008,,11110,종로구,201602,625.8255236178376
72000,114.931,2016,2,14,무악동,인왕산아이파크,5,2008,,11110,종로구,201602,626.4628342222725
28500,59.97,2016,2,25,평창동,삼성,1,1998,,11110,종로구,201602,475.2376188094047
