순위,자치구,동,유효단지수,유효타입수,준공연도중앙값,연평균상승률,10년누적상승률,전체중앙값대비
1,강남구,압구정동,18,122,1979,0.1424974436466182,2.7892422412277855,0.028505835585218686
2,서초구,반포동,12,79,1993,0.12602975742892392,2.277167785168143,0.012038149367524398
3,송파구,신천동,5,27,1984,0.1259702738709438,2.275437002608536,0.011978665809544292
4,서초구,잠원동,31,124,1992,0.1251970041439252,2.253012048192773,0.011205396082525687
5,송파구,송파동,9,49,1995,0.12291797009087965,2.1877211151971867,0.008926362029480134
6,강남구,일원동,11,34,1993,0.12214100998403365,2.165733446859947,0.008149401922634136
7,송파구,잠실동,9,71,1990,0.12071338434923405,2.125687717325155,0.006721776287834533
8,송파구,가락동,16,59,1996,0.1202217148522394,2.112002015750548,0.006230106790839879
9,송파구,방이동,7,30,1991,0.1192974103971149,2.0864197530864184,0.005305802335715384
10,강남구,수서동,8,33,1993,0.1188390253341099,2.0738032287052697,0.004847417272710375
11,송파구,오금동,9,34,1988,0.1185994212832064,2.0672268907563036,0.004607813221806881
12,강남구,개포동,13,49,1986,0.11746831051679796,2.0363523078851777,0.0034767024553984394
13,송파구,문정동,12,43,1994,0.11485530117203971,1.9660948359683377,0.0008636931106401902
14,강남구,도곡동,20,105,1995,0.11406807225062443,1.9452168800651068,7.646418922491183e-05
15,강남구,대치동,19,91,1999,0.1139151438721746,1.941176470588235,-7.646418922491183e-05
16,송파구,장지동,18,101,2008,0.11329488426121945,1.9248401402793904,-0.0006967238001800713
17,송파구,거여동,10,33,1997,0.11014256934655756,1.84307007121244,-0.0038490387148419625
18,강남구,청담동,16,80,1999,0.10882476359433577,1.8095008354350757,-0.0051668444670637526
19,송파구,풍납동,16,66,1995,0.1071153524105608,1.7664876249679584,-0.006876255650838714
20,강남구,삼성동,20,95,2001,0.10562285444716149,1.7294181469860215,-0.008368753614238028
21,강남구,역삼동,19,94,2006,0.1043604300480764,1.6984126984126964,-0.009631178013323125
22,서초구,방배동,28,135,2003,0.10137187923079455,1.6262728054566251,-0.01261972883060497
23,강남구,논현동,7,33,1997,0.10126084979706826,1.6236264573582209,-0.01273075826433126
24,서초구,서초동,28,161,2003,0.10042295471256582,1.6037327847477991,-0.013568653348833698
25,서초구,우면동,12,55,2012,0.09054879510376874,1.379309959906195,-0.023442812957630774
26,송파구,마천동,8,35,2002,0.0902712570217039,1.3732616896042718,-0.023720351039695622
27,강남구,세곡동,6,28,2011,0.0883584673976872,1.3319519853486863,-0.02563314066371232
28,서초구,신원동,5,38,2014,0.0816917458953716,1.192982456140351,-0.03229986216602791
