단지기본일련번호,면적일련번호,기준년월,KB일반가_만원,면적구분
39203,215405,202312,251667,84
39203,215405,202311,251667,84
39203,215405,202310,251667,84
39203,215405,202309,251667,84
39203,215405,202308,248333,84
39203,215405,202307,238333,84
39203,215405,202412,281667,84
39203,215405,202411,281667,84
39203,215405,202410,281667,84
39203,215405,202409,281667,84
39203,215405,202408,280000,84
39203,215405,202407,273333,84
39203,215405,202406,258333,84
39203,215405,202405,253333,84
39203,215405,202404,253333,84
39203,215405,202403,251667,84
39203,215405,202402,251667,84
39203,215405,202401,251667,84
39203,215405,202512,336667,84
39203,215405,202511,336667,84
39203,215405,202510,335000,84
39203,215405,202509,320000,84
39203,215405,202508,316667,84
39203,215405,202507,316667,84
39203,215405,202506,308333,84
39203,215405,202505,298333,84
39203,215405,202504,298333,84
39203,215405,202503,293333,84
39203,215405,202502,286667,84
39203,215405,202501,283333,84
39203,215405,202607,338333,84
39203,215405,202606,333333,84
39203,215405,202605,330000,84
39203,215405,202604,330000,84
39203,215405,202603,331667,84
39203,215405,202602,340000,84
39203,215405,202601,340000,84
39203,217538,202312,251667,84
39203,217538,202311,251667,84
39203,217538,202310,251667,84
39203,217538,202309,251667,84
39203,217538,202308,248333,84
39203,217538,202307,238333,84
39203,217538,202412,281667,84
39203,217538,202411,281667,84
39203,217538,202410,281667,84
39203,217538,202409,281667,84
39203,217538,202408,280000,84
39203,217538,202407,273333,84
39203,217538,202406,258333,84
39203,217538,202405,253333,84
39203,217538,202404,253333,84
39203,217538,202403,251667,84
39203,217538,202402,251667,84
39203,217538,202401,251667,84
39203,217538,202512,336667,84
39203,217538,202511,336667,84
39203,217538,202510,335000,84
39203,217538,202509,320000,84
39203,217538,202508,316667,84
39203,217538,202507,316667,84
39203,217538,202506,308333,84
39203,217538,202505,298333,84
39203,217538,202504,298333,84
39203,217538,202503,293333,84
39203,217538,202502,286667,84
39203,217538,202501,283333,84
39203,217538,202607,338333,84
39203,217538,202606,333333,84
39203,217538,202605,330000,84
39203,217538,202604,330000,84
39203,217538,202603,331667,84
39203,217538,202602,340000,84
39203,217538,202601,340000,84
39203,219312,202412,281667,84
39203,219312,202411,281667,84
39203,219312,202410,281667,84
39203,219312,202409,281667,84
39203,219312,202408,280000,84
39203,219312,202407,273333,84
39203,219312,202406,258333,84
39203,219312,202405,253333,84
39203,219312,202404,253333,84
39203,219312,202403,251667,84
39203,219312,202402,251667,84
39203,219312,202401,251667,84
39203,219312,202312,251667,84
39203,219312,202311,251667,84
39203,219312,202310,251667,84
39203,219312,202309,251667,84
39203,219312,202308,248333,84
39203,219312,202307,238333,84
39203,219312,202512,336667,84
39203,219312,202511,336667,84
39203,219312,202510,335000,84
39203,219312,202509,320000,84
39203,219312,202508,316667,84
39203,219312,202507,316667,84
39203,219312,202506,308333,84
39203,219312,202505,298333,84
39203,219312,202504,298333,84
39203,219312,202503,293333,84
39203,219312,202502,286667,84
39203,219312,202501,283333,84
39203,219312,202607,338333,84
39203,219312,202606,333333,84
39203,219312,202605,330000,84
39203,219312,202604,330000,84
39203,219312,202603,331667,84
39203,219312,202602,340000,84
39203,219312,202601,340000,84
39203,220764,202412,281667,84
39203,220764,202411,281667,84
39203,220764,202410,281667,84
39203,220764,202409,281667,84
39203,220764,202408,280000,84
39203,220764,202407,273333,84
39203,220764,202406,258333,84
39203,220764,202405,253333,84
39203,220764,202404,253333,84
39203,220764,202403,251667,84
39203,220764,202402,251667,84
39203,220764,202401,251667,84
39203,220764,202512,336667,84
39203,220764,202511,336667,84
39203,220764,202510,335000,84
39203,220764,202509,320000,84
39203,220764,202508,316667,84
39203,220764,202507,316667,84
39203,220764,202506,308333,84
39203,220764,202505,298333,84
39203,220764,202504,298333,84
39203,220764,202503,293333,84
39203,220764,202502,286667,84
39203,220764,202501,283333,84
39203,220764,202312,251667,84
39203,220764,202311,251667,84
39203,220764,202310,251667,84
39203,220764,202309,251667,84
39203,220764,202308,248333,84
39203,220764,202307,238333,84
39203,220764,202607,338333,84
39203,220764,202606,333333,84
39203,220764,202605,330000,84
39203,220764,202604,330000,84
39203,220764,202603,331667,84
39203,220764,202602,340000,84
39203,220764,202601,340000,84
36392,1249105,202112,235000,84
36392,1249105,202111,235000,84
36392,1249105,202110,235000,84
36392,1249105,202109,230000,84
36392,1249105,202108,228333,84
36392,1249105,202107,228333,84
36392,1249105,202212,238333,84
36392,1249105,202211,238333,84
36392,1249105,202210,238333,84
36392,1249105,202209,238333,84
36392,1249105,202208,238333,84
36392,1249105,202207,238333,84
36392,1249105,202206,238333,84
36392,1249105,202205,238333,84
36392,1249105,202204,236667,84
36392,1249105,202203,235000,84
36392,1249105,202202,235000,84
36392,1249105,202201,235000,84
36392,1249105,202312,230333,84
36392,1249105,202311,230333,84
36392,1249105,202310,230333,84
36392,1249105,202309,230333,84
36392,1249105,202308,228667,84
36392,1249105,202307,228333,84
36392,1249105,202306,228333,84
36392,1249105,202305,228333,84
36392,1249105,202304,230000,84
36392,1249105,202303,230000,84
36392,1249105,202302,233333,84
36392,1249105,202301,236667,84
36392,1249105,202412,245000,84
36392,1249105,202411,243333,84
36392,1249105,202410,241667,84
36392,1249105,202409,241667,84
36392,1249105,202408,240000,84
36392,1249105,202407,236667,84
36392,1249105,202406,236667,84
36392,1249105,202405,233333,84
36392,1249105,202404,230333,84
36392,1249105,202403,230333,84
36392,1249105,202402,230333,84
36392,1249105,202401,230333,84
36392,1249105,202607,298333,84
36392,1249105,202606,298333,84
36392,1249105,202605,298333,84
36392,1249105,202604,298333,84
36392,1249105,202603,298333,84
36392,1249105,202602,298333,84
36392,1249105,202601,295000,84
36392,1249105,202512,295000,84
36392,1249105,202511,293333,84
36392,1249105,202510,281667,84
36392,1249105,202509,275000,84
36392,1249105,202508,271667,84
36392,1249105,202507,268333,84
36392,1249105,202506,265000,84
36392,1249105,202505,258333,84
36392,1249105,202504,255000,84
36392,1249105,202503,255000,84
36392,1249105,202502,250000,84
36392,1249105,202501,248333,84
36392,1165914,201112,95000,84
36392,1165914,201111,95000,84
36392,1165914,201110,95000,84
36392,1165914,201109,95000,84
36392,1165914,201108,95000,84
36392,1165914,201107,97500,84
36392,1165914,201106,97500,84
36392,1165914,201105,100000,84
36392,1165914,201104,100000,84
36392,1165914,201103,100000,84
36392,1165914,201102,98500,84
36392,1165914,201101,101000,84
36392,1165914,201012,101000,84
36392,1165914,201011,101000,84
36392,1165914,201010,101000,84
36392,1165914,201009,104000,84
36392,1165914,201008,104000,84
36392,1165914,201007,104000,84
36392,1165914,201006,104000,84
36392,1165914,201005,104000,84
36392,1165914,201004,105000,84
36392,1165914,201003,105000,84
36392,1165914,201002,105000,84
36392,1165914,201001,105000,84
36392,1165914,200812,104500,84
36392,1165914,200811,109500,84
36392,1165914,200810,110000,84
36392,1165914,200809,116500,84
36392,1165914,200808,116500,84
36392,1165914,200807,116500,84
36392,1165914,200806,119000,84
36392,1165914,200805,119000,84
36392,1165914,200804,116500,84
36392,1165914,200803,116500,84
36392,1165914,200802,116500,84
36392,1165914,200801,116500,84
36392,1165914,200912,105000,84
36392,1165914,200911,105000,84
36392,1165914,200910,105000,84
36392,1165914,200909,105000,84
36392,1165914,200908,104000,84
36392,1165914,200907,104000,84
36392,1165914,200906,102000,84
36392,1165914,200905,102000,84
36392,1165914,200904,102000,84
36392,1165914,200903,101000,84
36392,1165914,200902,104500,84
36392,1165914,200901,104500,84
36392,1165914,201412,92500,84
36392,1165914,201411,91500,84
36392,1165914,201410,91500,84
36392,1165914,201409,91500,84
36392,1165914,201408,91000,84
36392,1165914,201407,84500,84
36392,1165914,201406,84500,84
36392,1165914,201405,84500,84
36392,1165914,201404,84500,84
36392,1165914,201403,82500,84
36392,1165914,201402,82000,84
36392,1165914,201401,82000,84
36392,1165914,201512,101000,84
36392,1165914,201511,101000,84
36392,1165914,201510,101000,84
36392,1165914,201509,100000,84
36392,1165914,201508,97500,84
36392,1165914,201507,96500,84
36392,1165914,201506,94000,84
36392,1165914,201505,94000,84
36392,1165914,201504,94000,84
36392,1165914,201503,94000,84
36392,1165914,201502,94000,84
36392,1165914,201501,94000,84
36392,1165914,201212,94000,84
36392,1165914,201211,94000,84
36392,1165914,201210,94000,84
36392,1165914,201209,94000,84
36392,1165914,201208,94000,84
36392,1165914,201207,94000,84
36392,1165914,201206,94000,84
36392,1165914,201205,94000,84
36392,1165914,201204,95000,84
36392,1165914,201203,95000,84
36392,1165914,201202,95000,84
36392,1165914,201201,95000,84
36392,1165914,201312,82000,84
36392,1165914,201311,82000,84
36392,1165914,201310,82000,84
36392,1165914,201309,82000,84
36392,1165914,201308,82000,84
36392,1165914,201307,82000,84
36392,1165914,201306,81500,84
36392,1165914,201305,82500,84
36392,1165914,201304,84000,84
36392,1165914,201303,84000,84
36392,1165914,201302,84000,84
36392,1165914,201301,85000,84
36392,1165914,201712,140000,84
36392,1165914,201711,135000,84
36392,1165914,201710,135000,84
36392,1165914,201709,125000,84
36392,1165914,201708,125000,84
36392,1165914,201707,125000,84
36392,1165914,201706,125000,84
36392,1165914,201705,122500,84
36392,1165914,201704,117500,84
36392,1165914,201703,117500,84
36392,1165914,201702,115000,84
36392,1165914,201701,115000,84
36392,1165914,201912,196500,84
36392,1165914,201911,195000,84
36392,1165914,201910,192500,84
36392,1165914,201909,185000,84
36392,1165914,201908,180000,84
36392,1165914,201907,170000,84
36392,1165914,201906,167500,84
36392,1165914,201905,167500,84
36392,1165914,201904,167500,84
36392,1165914,201903,170000,84
36392,1165914,201902,170000,84
36392,1165914,201901,172500,84
36392,1165914,201612,115000,84
36392,1165914,201611,115000,84
36392,1165914,201610,115000,84
36392,1165914,201609,115000,84
36392,1165914,201608,113500,84
36392,1165914,201607,111500,84
36392,1165914,201606,105000,84
36392,1165914,201605,105000,84
