단지기본일련번호,자치구,동,아파트,KB링크,준공연도,비교시작월,비교종료월,비교개월,시작가격_억원,현재가격_억원,단지_CAGR,리센츠_CAGR,초과상승률,기준행
15524,송파구,잠실동,리센츠,https://kbland.kr/se/c/15524,2008,200801,202607,222,9.3,33.5,0.0717276237444775,0.0717276237444775,0.0,True
1538,서초구,잠원동,신반포(한신16차),https://kbland.kr/se/c/1538,1983,200801,202607,222,7.0,33.0,0.0874288715240572,0.0717276237444775,0.015701247779579708,False
1522,서초구,잠원동,한강,https://kbland.kr/se/c/1522,1989,200801,202607,222,7.65,33.5,0.08310203409830019,0.0717276237444775,0.011374410353822695,False
1529,서초구,잠원동,잠원한신,https://kbland.kr/se/c/1529,1992,200801,202607,222,8.7,34.0,0.07645980943326847,0.0717276237444775,0.004732185688790969,False
15758,강남구,삼성동,삼성동힐스테이트1단지,https://kbland.kr/se/c/15758,2009,200801,202607,222,9.025,35.0,0.07601256397792944,0.0717276237444775,0.004284940233451939,False
15759,강남구,삼성동,삼성동힐스테이트2단지,https://kbland.kr/se/c/15759,2009,200801,202607,222,9.025,34.0,0.07432788667116941,0.0717276237444775,0.0026002629266919097,False
60,강남구,청담동,진흥,https://kbland.kr/se/c/60,1984,200801,202607,222,9.25,34.0,0.0728988177153882,0.0717276237444775,0.0011711939709107,False
121,강남구,일원동,우성7차(개포),https://kbland.kr/se/c/121,1987,200801,202607,222,9.05,32.75,0.07199455572392122,0.0717276237444775,0.0002669319794437186,False
13207,강남구,삼성동,삼성동중앙하이츠빌리지,https://kbland.kr/se/c/13207,2004,200801,202607,222,9.0875,32.0,0.07041368198023923,0.0717276237444775,-0.001313941764238269,False
25648,강남구,역삼동,테헤란아이파크,https://kbland.kr/se/c/25648,2014,201803,202607,100,16.65,32.5,0.0835683089780308,0.0859588982105497,-0.0023905892325188915,False
189,강남구,대치동,대치삼성(래미안),https://kbland.kr/se/c/189,2000,200801,202607,222,10.4,34.0,0.06612436578903935,0.0717276237444775,-0.005603257955438146,False
161,강남구,도곡동,개포한신,https://kbland.kr/se/c/161,1985,200801,202607,222,10.75,35.0,0.06588740065975385,0.0717276237444775,-0.00584022308472365,False
32109,서초구,서초동,래미안서초에스티지S,https://kbland.kr/se/c/32109,2018,201801,202607,102,17.55,34.5,0.08276535155084641,0.0896301002505333,-0.006864748699686896,False
132,강남구,일원동,가람,https://kbland.kr/se/c/132,1993,200801,202607,222,10.05,32.0,0.06460455452961478,0.0717276237444775,-0.007123069214862721,False
176,강남구,도곡동,도곡동삼성래미안,https://kbland.kr/se/c/176,2001,200801,202607,222,10.775,32.375,0.061271793085821535,0.0717276237444775,-0.010455830658655962,False
29879,서초구,서초동,래미안서초에스티지,https://kbland.kr/se/c/29879,2016,201611,202607,116,12.35,32.5,0.10527580296395866,0.1179651645508566,-0.01268936158689793,False
14175,강남구,역삼동,개나리푸르지오,https://kbland.kr/se/c/14175,2006,200801,202607,222,11.4,32.75,0.05870099631658077,0.0717276237444775,-0.013026627427896731,False
13850,강남구,역삼동,역삼e-편한세상,https://kbland.kr/se/c/13850,2005,200801,202607,222,11.325,32.5,0.05864021210211834,0.0717276237444775,-0.013087411642359159,False
14767,강남구,삼성동,롯데캐슬프레미어,https://kbland.kr/se/c/14767,2007,200801,202607,222,11.525,32.0,0.05675293293194894,0.0717276237444775,-0.014974690812528557,False
29882,서초구,서초동,서초푸르지오써밋,https://kbland.kr/se/c/29882,2017,201706,202607,109,14.0,34.5,0.10438869278527374,0.11965931258305096,-0.015270619797777218,False
14176,강남구,역삼동,개나리래미안,https://kbland.kr/se/c/14176,2006,200801,202607,222,11.8,32.5,0.05629167494395659,0.0717276237444775,-0.015435948800520904,False
36392,강남구,개포동,경남,https://kbland.kr/se/c/36392,1984,200801,202607,222,11.65,32.0,0.05613690614711775,0.0717276237444775,-0.015590717597359749,False
25248,강남구,역삼동,개나리SK뷰,https://kbland.kr/se/c/25248,2012,201208,202607,167,11.0,34.0,0.08446559174579882,0.10127265730269874,-0.016807065556899925,False
32909,강남구,개포동,래미안블레스티지,https://kbland.kr/se/c/32909,2019,201901,202607,90,20.75,33.75,0.0670073805704734,0.09991754055956648,-0.03291015998909308,False
