자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월,세대수
강남구,개포동,1168010300,39203,개포래미안포레스트,1,아파트,215405,115.41,84.86,A,338333.0,202607,2296.0
강남구,개포동,1168010300,39203,개포래미안포레스트,1,아파트,217538,115.37,84.83,B,338333.0,202607,2296.0
강남구,개포동,1168010300,39203,개포래미안포레스트,1,아파트,219312,115.68,84.9,C,338333.0,202607,2296.0
강남구,개포동,1168010300,39203,개포래미안포레스트,1,아파트,220764,115.18,84.59,D,338333.0,202607,2296.0
강남구,개포동,1168010300,144,개포주공6단지.,1,아파트,127829,107.31,83.21,,380000.0,202607,1060.0
강남구,개포동,1168010300,136,개포주공5단지.,1,아파트,127825,116.04,83.17,,400000.0,202607,940.0
강남구,개포동,1168010300,48042,개포자이프레지던스,1,아파트,205845,110.79,84.59,A,375000.0,202607,3375.0
강남구,개포동,1168010300,48042,개포자이프레지던스,1,아파트,222128,110.79,84.75,B,375000.0,202607,3375.0
강남구,개포동,1168010300,48042,개포자이프레지던스,1,아파트,223108,112.52,84.82,P,,202607,3375.0
강남구,개포동,1168010300,36392,경남,1,아파트,1249105,97.92,84.72,A,298333.0,202607,678.0
강남구,개포동,1168010300,36392,경남,1,아파트,1165914,107.64,84.6,,341667.0,202607,678.0
강남구,개포동,1168010300,145,개포주공7단지.,1,아파트,127830,114.72,83.7,,375000.0,202607,900.0
강남구,개포동,1168010300,38578,뉴현대파크빌,1,아파트,191566,96.07,83.46,A,96400.0,202607,10.0
강남구,개포동,1168010300,38578,뉴현대파크빌,1,아파트,199200,96.08,83.46,B,95700.0,202607,10.0
강남구,개포동,1168010300,50176,디에이치퍼스티어아이파크,1,아파트,1108641,110.41,84.82,A,350000.0,202607,6702.0
강남구,개포동,1168010300,50176,디에이치퍼스티어아이파크,1,아파트,1108630,111.53,84.85,B,350000.0,202607,6702.0
강남구,개포동,1168010300,50176,디에이치퍼스티어아이파크,1,아파트,1108631,111.91,84.9,C,350000.0,202607,6702.0
강남구,개포동,1168010300,50176,디에이치퍼스티어아이파크,1,아파트,1108632,111.88,84.88,D,350000.0,202607,6702.0
강남구,개포동,1168010300,33681,디에이치아너힐즈,1,아파트,32537,114.2,84.35,A,357500.0,202607,1320.0
강남구,개포동,1168010300,33681,디에이치아너힐즈,1,아파트,223746,114.2,84.35,B,357500.0,202607,1320.0
강남구,개포동,1168010300,33681,디에이치아너힐즈,1,아파트,78552,115.24,84.35,C,357500.0,202607,1320.0
강남구,개포동,1168010300,33681,디에이치아너힐즈,1,아파트,116127,115.79,84.63,D,357500.0,202607,1320.0
강남구,개포동,1168010300,24683,리더스.,1,아파트,70620,92.57,84.16,,96800.0,202607,10.0
강남구,개포동,1168010300,24683,리더스.,1,아파트,23627,94.36,83.62,,103800.0,202607,10.0
강남구,개포동,1168010300,32909,래미안블레스티지,1,아파트,223737,113.3,84.94,A,337500.0,202607,1957.0
강남구,개포동,1168010300,32909,래미안블레스티지,1,아파트,144121,113.3,84.94,B,337500.0,202607,1957.0
강남구,개포동,1168010300,32909,래미안블레스티지,1,아파트,224484,113.3,84.94,B-1,337500.0,202607,1957.0
강남구,개포동,1168010300,32909,래미안블레스티지,1,아파트,225112,113.3,84.94,B-2,337500.0,202607,1957.0
강남구,개포동,1168010300,32909,래미안블레스티지,1,아파트,164817,113.84,84.94,C,337500.0,202607,1957.0
강남구,개포동,1168010300,32909,래미안블레스티지,1,아파트,179797,115.07,84.95,D,335000.0,202607,1957.0
강남구,개포동,1168010300,32909,래미안블레스티지,1,아파트,226874,116.86,84.79,P,352500.0,202607,1957.0
강남구,개포동,1168010300,30782,포이벨리,1,아파트,29659,98.3,84.69,,110500.0,202607,10.0
강남구,개포동,1168010300,138,현대(3차),1,아파트,135,105.86,84.87,,275000.0,202607,198.0
강남구,개포동,1168010300,147,현대(2차),1,아파트,127832,105.78,83.16,B,317500.0,202607,558.0
강남구,개포동,1168010300,147,현대(2차),1,아파트,144,106.67,84.81,A,317500.0,202607,558.0
강남구,논현동,1168010800,3,경남논현,1,아파트,153069,112.41,83.72,A,160000.0,202607,60.0
강남구,논현동,1168010800,3,경남논현,1,아파트,49366,113.51,84.55,B,160000.0,202607,60.0
강남구,논현동,1168010800,3,경남논현,1,아파트,127747,113.97,84.89,C,160000.0,202607,60.0
강남구,논현동,1168010800,2,논현(신동아),1,아파트,49365,103.86,84.52,,227500.0,202607,644.0
강남구,논현동,1168010800,2,논현(신동아),1,아파트,93340,125.48,84.69,,227500.0,202607,644.0
강남구,논현동,1168010800,13563,논현e-편한세상,1,아파트,13344,109.11,84.98,A,145000.0,202607,63.0
강남구,논현동,1168010800,13563,논현e-편한세상,1,아파트,61323,109.26,84.49,B,145000.0,202607,63.0
강남구,논현동,1168010800,20642,논현동2차한화꿈에그린아파트,1,아파트,19950,104.67,83.7,,137600.0,202607,46.0
강남구,논현동,1168010800,12572,논현동한진로즈힐,1,아파트,60481,111.21,84.94,,195000.0,202607,81.0
강남구,논현동,1168010800,12337,논현동동부센트레빌,1,아파트,12139,106.82,84.98,,225000.0,202607,160.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,62419,105.02,84.99,A,155000.0,202607,82.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,157003,105.11,84.99,B,155000.0,202607,82.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,173694,105.65,84.99,C,155000.0,202607,82.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,185949,105.85,84.99,D,155000.0,202607,82.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,194879,107.56,84.93,A,155000.0,202607,82.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,201621,107.95,84.98,B,155000.0,202607,82.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,206748,108.17,84.71,C,155000.0,202607,82.0
강남구,논현동,1168010800,416789,논현두산위브(2단지),1,아파트,1644554,105.93,83.46,C,200000.0,202607,136.0
강남구,논현동,1168010800,416789,논현두산위브(2단지),1,아파트,1644556,107.76,84.72,A,200000.0,202607,136.0
강남구,논현동,1168010800,416789,논현두산위브(2단지),1,아파트,1512571,107.33,84.25,B,200000.0,202607,136.0
강남구,논현동,1168010800,36289,논현두산위브(1단지),1,아파트,80824,107.83,84.99,A,210000.0,202607,130.0
강남구,논현동,1168010800,36289,논현두산위브(1단지),1,아파트,166124,107.81,84.87,D,210000.0,202607,130.0
