시작연도,매수방식,기간내고갈여부,고갈월,유지개월수,총인출액(원),총매수액(원),대기자금누적이자(원),최종현금(원),최종주식평가액(원),최종잔액(원)
2002,일시매수,True,2008-05,77,76710190.14382227,100000000.0,0.0,0.0,0.0,0.0
2002,분할매수,False,-,120,120000000.0,91666666.66666666,2018141.231672799,0.0,7719075.36838185,7719075.36838185
2003,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,65511397.98260504,65511397.98260504
2003,분할매수,False,-,120,120000000.0,91666666.66666666,1940151.9674398191,0.0,30932157.591501456,30932157.591501456
2004,일시매수,True,2013-06,114,113520443.74109955,100000000.0,0.0,0.0,0.0,0.0
2004,분할매수,False,-,120,120000000.0,91666666.66666666,1714298.322216286,0.0,6500287.336328851,6500287.336328851
2005,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,25010789.280439455,25010789.280439455
2005,분할매수,False,-,120,120000000.0,91475399.71960735,1475399.719607373,0.0,48685550.01374733,48685550.01374733
2006,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,63302747.05137571,63302747.05137571
2006,분할매수,False,-,120,120000000.0,91666666.66666666,1808756.2473031199,0.0,89334258.05619699,89334258.05619699
2007,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,110162563.19116007,110162563.19116007
2007,분할매수,False,-,120,120000000.0,91666666.66666666,2100415.4815221503,0.0,86971581.66823924,86971581.66823924
2008,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,90911464.50461306,90911464.50461306
2008,분할매수,False,-,120,120000000.0,91666666.66666666,2347953.2138032624,0.0,118802052.64371341,118802052.64371341
2009,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,243402332.27372932,243402332.27372932
2009,분할매수,False,-,120,120000000.0,91266391.5521885,1266391.5521884975,0.0,169355683.5398931,169355683.5398931
2010,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,190231349.08786216,190231349.08786216
2010,분할매수,False,-,120,120000000.0,91142782.52184269,1142782.521842678,0.0,190846452.05635005,190846452.05635005
2011,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,231923932.22172683,231923932.22172683
2011,분할매수,False,-,120,120000000.0,91346860.30447245,1346860.304472424,0.0,232012066.0350311,232012066.0350311
2012,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,361067730.80324614,361067730.80324614
2012,분할매수,False,-,120,120000000.0,91479351.9905266,1479351.990526592,0.0,281009112.38210166,281009112.38210166
2013,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,264227218.96587223,264227218.96587223
2013,분할매수,False,-,120,120000000.0,91175851.20154169,1175851.2015417037,0.0,201583740.90517822,201583740.90517822
2014,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,268997490.5589364,268997490.5589364
2014,분할매수,False,-,120,120000000.0,91107408.68487632,1107408.6848763262,0.0,247365861.04534864,247365861.04534864
2015,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,303194141.29617536,303194141.29617536
2015,분할매수,False,-,120,120000000.0,90818378.59292361,818378.5929236129,0.0,262898596.85211194,262898596.85211194
2016,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,312267236.8390687,312267236.8390687
2016,분할매수,False,-,120,120000000.0,90665595.99972777,665595.9997277632,0.0,332052047.2450866,332052047.2450866
