시작연도,매수기간(개월),매수전략,기간내고갈여부,고갈월,유지개월수,총인출액(원),총매수액(원),대기자금누적이자(원),최종현금(원),최종주식평가액(원),최종잔액(원)
2002,0,일시매수,True,2008-05,77,76710177.69092563,100000000.0,0.0,0.0,0.0,0.0
2002,6,6개월,True,2009-06,90,89469402.42233443,95957927.38790773,957927.3879077403,0.0,0.0,0.0
2002,12,12개월,False,-,120,120000000.0,91666666.66666666,2018141.231672799,0.0,7719093.9068350345,7719093.9068350345
2002,24,24개월,False,-,120,120000000.0,83914681.35606344,3914681.3560634637,0.0,19329460.62921716,19329460.62921716
2003,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,65511350.22845084,65511350.22845084
2003,6,6개월,False,-,120,120000000.0,95958352.41186959,958352.4118696009,0.0,50264446.9333932,50264446.9333932
2003,12,12개월,False,-,120,120000000.0,91666666.66666666,1940151.9674398191,0.0,30932132.156601753,30932132.156601753
2003,24,24개월,False,-,120,120000000.0,83583806.31504752,3583806.315047547,0.0,14466007.450081393,14466007.450081393
2004,0,일시매수,True,2013-06,114,113520533.63732187,100000000.0,0.0,0.0,0.0,0.0
2004,6,6개월,False,-,120,120000000.0,95846118.72610323,846118.7261032232,0.0,858411.502534226,858411.502534226
2004,12,12개월,False,-,120,120000000.0,91666666.66666666,1714298.322216286,0.0,6500286.413415914,6500286.413415914
2004,24,24개월,False,-,120,120000000.0,83333333.33333333,3145111.9948383626,0.0,18500017.116769202,18500017.116769202
2005,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,25010742.542426918,25010742.542426918
2005,6,6개월,False,-,120,120000000.0,95701381.0759948,701381.0759947961,0.0,55306426.636059865,55306426.636059865
2005,12,12개월,False,-,120,120000000.0,91475399.71960735,1475399.719607373,0.0,48685508.808646075,48685508.808646075
2005,24,24개월,False,-,120,120000000.0,83333333.33333333,2966227.560367879,0.0,51975290.054835424,51975290.054835424
2006,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,63302558.84768306,63302558.84768306
2006,6,6개월,False,-,120,120000000.0,95839340.65310168,839340.653101691,0.0,75850322.48658803,75850322.48658803
2006,12,12개월,False,-,120,120000000.0,91666666.66666666,1808756.2473031199,0.0,89334173.66240185,89334173.66240185
2006,24,24개월,False,-,120,120000000.0,83639988.71489443,3639988.714894452,0.0,81159007.81530921,81159007.81530921
2007,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,110162506.67257081,110162506.67257081
2007,6,6개월,False,-,120,120000000.0,95985881.53593203,985881.5359320446,0.0,100241198.37788182,100241198.37788182
2007,12,12개월,False,-,120,120000000.0,91666666.66666666,2100415.4815221503,0.0,86971560.7836996,86971560.7836996
2007,24,24개월,False,-,120,120000000.0,84208541.01004086,4208541.010040888,0.0,85120442.87037171,85120442.87037171
2008,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,90911493.9255163,90911493.9255163
2008,6,6개월,False,-,120,120000000.0,96130505.25367606,1130505.2536760555,0.0,120441998.6731135,120441998.6731135
2008,12,12개월,False,-,120,120000000.0,91666666.66666666,2347953.2138032624,0.0,118802066.69949824,118802066.69949824
2008,24,24개월,False,-,120,120000000.0,84276652.54492542,4276652.544925455,0.0,137826292.7532036,137826292.7532036
2009,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,243402304.9857627,243402304.9857627
2009,6,6개월,False,-,120,120000000.0,95701290.20643891,701290.2064389138,0.0,199239034.8109701,199239034.8109701
2009,12,12개월,False,-,120,120000000.0,91266391.5521885,1266391.5521884975,0.0,169355700.4040407,169355700.4040407
2009,24,24개월,False,-,120,120000000.0,83290292.26246925,2290292.2624692703,0.0,141219904.65943742,141219904.65943742
2010,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,190231145.56700236,190231145.56700236
2010,6,6개월,False,-,120,120000000.0,95570226.49431376,570226.4943137736,0.0,196153099.67343166,196153099.67343166
2010,12,12개월,False,-,120,120000000.0,91142782.52184269,1142782.521842678,0.0,190846407.7871615,190846407.7871615
2010,24,24개월,False,-,120,120000000.0,83208604.19891831,2208604.198918341,0.0,162028619.53224108,162028619.53224108
2011,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,231923922.15056986,231923922.15056986
2011,6,6개월,False,-,120,120000000.0,95604902.90212,604902.9021200048,0.0,220892189.27173957,220892189.27173957
2011,12,12개월,False,-,120,120000000.0,91346860.30447245,1346860.304472424,0.0,232012020.3980779,232012020.3980779
2011,24,24개월,False,-,120,120000000.0,83333333.33333333,2706707.8782513565,0.0,203379396.39406207,203379396.39406207
2012,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,361067363.2535427,361067363.2535427
2012,6,6개월,False,-,120,120000000.0,95714584.56055318,714584.5605531824,0.0,289901821.91963995,289901821.91963995
2012,12,12개월,False,-,120,120000000.0,91479351.9905266,1479351.990526592,0.0,281009104.63858014,281009104.63858014
2012,24,24개월,False,-,120,120000000.0,83333333.33333333,2686871.6257848097,0.0,269826905.87039393,269826905.87039393
2013,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,264227346.20907953,264227346.20907953
2013,6,6개월,False,-,120,120000000.0,95573980.565686,573980.5656860059,0.0,226770265.81984755,226770265.81984755
2013,12,12개월,False,-,120,120000000.0,91175851.20154169,1175851.2015417037,0.0,201583796.91457036,201583796.91457036
2013,24,24개월,False,-,120,120000000.0,83205563.3743029,2205563.3743029167,0.0,170684432.4415397,170684432.4415397
2014,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,268997403.961249,268997403.961249
2014,6,6개월,False,-,120,120000000.0,95533210.4227868,533210.4227868019,0.0,267706169.96578887,267706169.96578887
2014,12,12개월,False,-,120,120000000.0,91107408.68487632,1107408.6848763262,0.0,247365854.28914902,247365854.28914902
2014,24,24개월,False,-,120,120000000.0,82998721.79230058,1998721.792300618,0.0,200115639.12484643,200115639.12484643
2015,0,일시매수,False,-,120,120000000.0,100000000.0,0.0,0.0,303194065.3747836,303194065.3747836
2015,6,6개월,False,-,120,120000000.0,95419574.3665882,419574.3665882104,0.0,283539476.40807134,283539476.40807134
2015,12,12개월,False,-,120,120000000.0,90818378.59292361,818378.5929236129,0.0,262898625.75646558,262898625.75646558
2015,24,24개월,False,-,120,120000000.0,82455530.90759665,1455530.907596656,0.0,246917832.39770105,246917832.39770105
