시작연도,종목,경과개월,날짜,월봉종가(달러),원달러환율,한국CD91일물금리(%),매수신호,월초대기자금(원),대기자금이자(원),인출전대기자금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2002,QQQ,0,2001-12-31,32.78693389892578,1313.5,4.84,분할매수,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0.0,8333333.333333333,91666666.66666667,193.50307537489817,8333333.333333332,100000000.0
2002,QQQ,1,2002-01-31,32.44989013671875,1314.4,4.79,분할매수,91666666.66666667,369722.22222222225,92036388.8888889,193.50307537489817,1000000.0,1000000.0,0.0,8333333.333333333,82703055.55555557,388.882116000776,16586652.742409052,99289708.29796462
2002,QQQ,2,2002-02-28,28.464210510253906,1323.8,4.54,분할매수,82703055.55555557,330123.03009259264,83033178.58564816,388.882116000776,1000000.0,1000000.0,0.0,8333333.333333333,73699845.25231484,610.0373563453513,22986769.964349877,96686615.21666472
2002,QQQ,3,2002-03-31,30.385427474975586,1325.9,4.64,분할매수,73699845.25231484,278831.08120459114,73978676.33351943,610.0373563453513,1000000.0,1000000.0,0.0,8333333.333333333,64645343.00018609,816.8812158934621,32910541.70353797,97555884.70372406
2002,QQQ,4,2002-04-30,26.7368106842041,1294.0,4.79,분할매수,64645343.00018609,249961.99293405286,64895304.99312015,816.8812158934621,1000000.0,1000000.0,0.0,8333333.333333333,55561971.65978681,1057.7468699211743,36595326.48988212,92157298.14966893
2002,QQQ,5,2002-05-31,25.312753677368164,1219.3,4.81,분할매수,55561971.65978681,221784.87020864902,55783756.529995464,1057.7468699211743,1000000.0,1000000.0,0.0,8333333.333333333,46450423.19666213,1327.7499927487788,40979464.07816608,87429887.27482821
2002,QQQ,6,2002-06-30,21.992774963378906,1205.0,4.85,분할매수,46450423.19666213,186188.7796466207,46636611.97630875,1327.7499927487788,1000000.0,1000000.0,0.0,8333333.333333333,37303278.64297541,1642.2000489051225,43520426.02510633,80823704.66808175
2002,QQQ,7,2002-07-31,20.096847534179688,1183.0,4.91,분할매수,37303278.64297541,150767.41784869228,37454046.0608241,1642.2000489051225,1000000.0,1000000.0,0.0,8333333.333333333,28120712.72749077,1992.7146160026787,47375934.389436774,75496647.11692755
2002,QQQ,8,2002-08-31,19.793493270874023,1201.9,4.8,분할매수,28120712.72749077,115060.58290998309,28235773.310400754,1992.7146160026787,1000000.0,1000000.0,0.0,8333333.333333333,18902439.977067422,2343.004802833511,55739614.63282991,74642054.60989733
2002,QQQ,9,2002-09-30,17.45939826965332,1227.7,4.81,분할매수,18902439.977067422,75609.75990826968,18978049.736975692,2343.004802833511,1000000.0,1000000.0,0.0,8333333.333333333,9644716.40364236,2731.778814730926,58555414.60960087,68200131.01324323
