시작연도,종목,기간내고갈여부,고갈월,유지개월수,총인출액(원),총매수액(원),대기자금누적이자(원),최종현금(원),최종주식평가액(원),최종잔액(원)
2002,QQQ,False,-,120,120000000.0,91666666.66666666,2018141.231672799,0.0,7719084.822789887,7719084.822789887
2002,SPY,True,2011-03,111,110084509.94231348,91666666.66666666,2018141.231672799,0.0,1.2344321123204351e-11,1.2344321123204351e-11
2002,SOXX,True,2009-09,93,92616806.91571243,91666666.66666666,2018141.231672799,0.0,0.0,0.0
2003,QQQ,False,-,120,120000000.0,91666666.66666666,1940151.9674398191,0.0,30932145.328150995,30932145.328150995
2003,SPY,False,-,120,120000000.0,91666666.66666666,1940151.9674398191,0.0,11340765.583981,11340765.583981
2003,SOXX,True,2012-05,113,112792728.56840232,91666666.66666666,1940151.9674398191,0.0,0.0,0.0
2004,QQQ,False,-,120,120000000.0,91666666.66666666,1714298.322216286,0.0,6500301.139543233,6500301.139543233
2004,SPY,True,2013-05,113,112073093.43709712,91666666.66666666,1714298.322216286,0.0,8.173674915815609e-12,8.173674915815609e-12
2004,SOXX,True,2011-03,87,86985803.24624096,91666666.66666666,1714298.322216286,0.0,0.0,0.0
2005,QQQ,False,-,120,120000000.0,91475399.71960735,1475399.719607373,0.0,48685493.31080454,48685493.31080454
2005,SPY,False,-,120,120000000.0,91475399.71960735,1475399.719607373,0.0,11399377.626691634,11399377.626691634
2005,SOXX,True,2013-09,105,104699055.90455705,91475399.71960735,1475399.719607373,0.0,0.0,0.0
2006,QQQ,False,-,120,120000000.0,91666666.66666666,1808756.2473031199,0.0,89334212.27549309,89334212.27549309
2006,SPY,False,-,120,120000000.0,91666666.66666666,1808756.2473031199,0.0,22485313.50844901,22485313.50844901
2006,SOXX,True,2014-05,101,100419109.80807425,91666666.66666666,1808756.2473031199,0.0,0.0,0.0
2007,QQQ,False,-,120,120000000.0,91666666.66666666,2100415.4815221503,0.0,86971539.97686031,86971539.97686031
2007,SPY,False,-,120,120000000.0,91666666.66666666,2100415.4815221503,0.0,15788327.621519532,15788327.621519532
2007,SOXX,True,2016-02,110,109931857.93133037,91666666.66666666,2100415.4815221503,0.0,0.0,0.0
2008,QQQ,False,-,120,120000000.0,91666666.66666666,2347953.2138032624,0.0,118802074.45298591,118802074.45298591
2008,SPY,False,-,120,120000000.0,91666666.66666666,2347953.2138032624,0.0,37236851.4663675,37236851.4663675
2008,SOXX,False,-,120,120000000.0,91666666.66666666,2347953.2138032624,0.0,73647325.70485164,73647325.70485164
2009,QQQ,False,-,120,120000000.0,91266391.5521885,1266391.5521884975,0.0,169355683.7411097,169355683.7411097
2009,SPY,False,-,120,120000000.0,91266391.5521885,1266391.5521884975,0.0,84182657.75249341,84182657.75249341
2009,SOXX,False,-,120,120000000.0,91266391.5521885,1266391.5521884975,0.0,148321024.53469387,148321024.53469387
2010,QQQ,False,-,120,120000000.0,91142782.52184269,1142782.521842678,0.0,190846381.24008316,190846381.24008316
2010,SPY,False,-,120,120000000.0,91142782.52184269,1142782.521842678,0.0,102224334.21543694,102224334.21543694
2010,SOXX,False,-,120,120000000.0,91142782.52184269,1142782.521842678,0.0,188642544.01871625,188642544.01871625
2011,QQQ,False,-,120,120000000.0,91346860.30447245,1346860.304472424,0.0,232012089.8760536,232012089.8760536
2011,SPY,False,-,120,120000000.0,91346860.30447245,1346860.304472424,0.0,107696675.78776348,107696675.78776348
2011,SOXX,False,-,120,120000000.0,91346860.30447245,1346860.304472424,0.0,261738224.7584818,261738224.7584818
2012,QQQ,False,-,120,120000000.0,91479351.9905266,1479351.990526592,0.0,281009042.3253924,281009042.3253924
2012,SPY,False,-,120,120000000.0,91479351.9905266,1479351.990526592,0.0,142841173.37136158,142841173.37136158
2012,SOXX,False,-,120,120000000.0,91479351.9905266,1479351.990526592,0.0,538608112.3521363,538608112.3521363
2013,QQQ,False,-,120,120000000.0,91175851.20154169,1175851.2015417037,0.0,201583762.52346888,201583762.52346888
2013,SPY,False,-,120,120000000.0,91175851.20154169,1175851.2015417037,0.0,104814311.29021432,104814311.29021432
2013,SOXX,False,-,120,120000000.0,91175851.20154169,1175851.2015417037,0.0,364297285.4185386,364297285.4185386
2014,QQQ,False,-,120,120000000.0,91107408.68487632,1107408.6848763262,0.0,247365892.01415047,247365892.01415047
2014,SPY,False,-,120,120000000.0,91107408.68487632,1107408.6848763262,0.0,111406673.58807361,111406673.58807361
2014,SOXX,False,-,120,120000000.0,91107408.68487632,1107408.6848763262,0.0,480217806.15660626,480217806.15660626
2015,QQQ,False,-,120,120000000.0,90818378.59292361,818378.5929236129,0.0,262898626.95187345,262898626.95187345
2015,SPY,False,-,120,120000000.0,90818378.59292361,818378.5929236129,0.0,125947178.25689375,125947178.25689375
2015,SOXX,False,-,120,120000000.0,90818378.59292361,818378.5929236129,0.0,512803043.21488005,512803043.21488005
2016,QQQ,False,-,120,120000000.0,90665595.99972777,665595.9997277632,0.0,332052102.8748098,332052102.8748098
2016,SPY,False,-,120,120000000.0,90665595.99972777,665595.9997277632,0.0,160911565.22233608,160911565.22233608
2016,SOXX,False,-,120,120000000.0,90665595.99972777,665595.9997277632,0.0,729772882.2336566,729772882.2336566
