날짜,미국계좌 공제분,ISA원금,ISA수익금,연금저축원금,연금저축수익금,국내일반계좌,미국계좌 과세분,총평가액,당월실수령액,당월납부세금
2003-12-31,50000000,200000000,0,36000000,0,114000000,0,400000000,0,0
2004-01-31,50106189,200000000,723333,36000000,130200,110412300,0,397372022,4000000,0
2004-02-29,49640851,200000000,1222724,36000000,258462,106804264,0,393926301,4000000,0
2004-03-31,47317139,199407128,0,36000000,381741,103167398,0,386273407,4000000,0
2004-04-30,46981344,199222274,0,36000000,500891,99505271,0,382209780,4000000,0
2004-05-31,49024581,200000000,4439692,36000000,619823,95829493,0,385913590,4000000,0
2004-06-30,50229658,200000000,8342602,36000000,738838,92140939,0,387452036,4000000,0
2004-07-31,46998865,196256826,0,36000000,858545,88441164,0,368555400,4000000,0
2004-08-31,45121888,188418987,0,36000000,382011,84729335,0,354652221,4000000,0
2004-09-30,46607389,194622109,0,36000000,1579779,81295302,0,360104579,4000000,0
2004-10-31,47582251,198692918,0,36000000,2365815,78322900,0,362963885,4000000,0
2004-11-30,47202055,197105305,0,36000000,2059261,73694380,0,356061002,4000000,4773
2004-12-31,48030088,200000000,562987,36000000,2726908,70971551,0,358291534,4000000,15599
2005-01-31,44639469,186404514,0,71993035,0,25961410,0,328998429,4000000,0
2005-02-28,43299791,180810316,0,69832447,0,21182281,0,315124835,4000000,0
2005-03-31,43162086,180235290,0,69610361,0,17114915,0,310122652,4000000,0
2005-04-30,40537351,169274980,0,65377277,0,12074138,0,287263747,4000000,0
2005-05-31,44483945,185755080,0,71742211,0,9249640,0,311230876,4000000,0
2005-06-30,44267360,184850668,0,71392909,0,5204605,0,305715542,4000000,0
2005-07-31,47268955,197384665,0,72000000,4233782,1551630,0,322439032,4000000,5878
2005-08-31,47119320,196759819,0,69545198,3992454,0,0,317416790,4000000,1520
2005-09-30,47855609,199834400,0,65545198,5141558,0,0,318376765,4000000,0
2005-10-31,47189821,197054216,0,61545198,4158133,0,0,309947366,4000000,0
2005-11-30,49774436,200000000,7846998,57545198,7756745,0,0,322923377,4000000,0
2005-12-31,47599041,198763031,0,53545198,4902719,0,0,304809989,4000000,0
