start_year,strategy,date,actual_withdrawal_krw,cd91_rate_percent,cash_interest_krw,tax_paid_krw,ending_balance_krw,us_core_value_krw,us_core_principal_krw,us_core_gain_krw,isa_principal_krw,isa_gain_krw,pension_principal_krw,pension_gain_krw,general_krw,us_excess_krw
2002,세전 기준,2001-12-31,0.0,4.84,0.0,0.0,400000000.0,,,,,,,,,
2002,세전 기준,2002-01-31,4000000.0,4.79,1478888.888888889,0.0,397158825.4300042,,,,,,,,,
2002,세전 기준,2002-02-28,4000000.0,4.54,1320492.1203703706,0.0,386746463.8627008,,,,,,,,,
2002,세전 기준,2002-03-31,4000000.0,4.64,1115324.3248183646,0.0,390223554.77680135,,,,,,,,,
2002,세전 기준,2002-04-30,4000000.0,4.79,999847.9717362114,0.0,368629183.08054906,,,,,,,,,
2002,세전 기준,2002-05-31,4000000.0,4.81,887139.4808345961,0.0,349719559.2395973,,,,,,,,,
2002,세전 기준,2002-06-30,4000000.0,4.85,744755.1185864828,0.0,323294839.5858657,,,,,,,,,
2002,세전 기준,2002-07-31,4000000.0,4.91,603069.6713947691,0.0,301986652.97258544,,,,,,,,,
2002,세전 기준,2002-08-31,4000000.0,4.8,460242.33163993235,0.0,298568265.8163308,,,,,,,,,
2002,세전 기준,2002-09-30,4000000.0,4.81,302439.03963307873,0.0,272800596.44977987,,,,,,,,,
2002,세전 기준,2002-10-31,4000000.0,4.91,154636.95300506585,0.0,311413523.27880687,,,,,,,,,
2002,세전 기준,2002-11-30,4000000.0,4.91,5729.025783436814,0.0,340214274.4034733,,,,,,,,,
2002,세전 기준,2002-12-31,4000000.0,4.9,0.0,0.0,292004869.33849233,,,,,,,,,
2002,세전 기준,2003-01-31,4000000.0,4.7,0.0,0.0,283585540.4997513,,,,,,,,,
2002,세전 기준,2003-02-28,4000000.0,4.54,0.0,0.0,295131964.6078008,,,,,,,,,
2002,세전 기준,2003-03-31,4000000.0,4.76,0.0,0.0,306653426.69346285,,,,,,,,,
2002,세전 기준,2003-04-30,4000000.0,4.62,0.0,0.0,319652849.2292697,,,,,,,,,
2002,세전 기준,2003-05-31,4000000.0,4.39,0.0,0.0,341332189.97163707,,,,,,,,,
2002,세전 기준,2003-06-30,4000000.0,4.28,0.0,0.0,335195071.0367323,,,,,,,,,
2002,세전 기준,2003-07-31,4000000.0,4.15,0.0,0.0,347436323.6075963,,,,,,,,,
2002,세전 기준,2003-08-31,4000000.0,3.9,0.0,0.0,358954510.2198154,,,,,,,,,
2002,세전 기준,2003-09-30,4000000.0,3.83,0.0,0.0,337170638.2175132,,,,,,,,,
2002,세전 기준,2003-10-31,4000000.0,3.93,0.0,0.0,372626719.3931894,,,,,,,,,
2002,세전 기준,2003-11-30,4000000.0,4.23,0.0,0.0,376473697.1899111,,,,,,,,,
2002,세전 기준,2003-12-31,4000000.0,4.34,0.0,0.0,380856667.15475005,,,,,,,,,
2002,세전 기준,2004-01-31,4000000.0,4.26,0.0,0.0,377381232.133214,,,,,,,,,
2002,세전 기준,2004-02-29,4000000.0,4.08,0.0,0.0,369876477.2751501,,,,,,,,,
2002,세전 기준,2004-03-31,4000000.0,3.93,0.0,0.0,348562386.2048859,,,,,,,,,
2002,세전 기준,2004-04-30,4000000.0,3.91,0.0,0.0,342088743.598873,,,,,,,,,
2002,세전 기준,2004-05-31,4000000.0,3.9,0.0,0.0,352966321.9839847,,,,,,,,,
2002,세전 기준,2004-06-30,4000000.0,3.91,0.0,0.0,357642608.86664563,,,,,,,,,
2002,세전 기준,2004-07-31,4000000.0,3.91,0.0,0.0,330638884.51255655,,,,,,,,,
2002,세전 기준,2004-08-31,4000000.0,3.7,0.0,0.0,313434276.99261755,,,,,,,,,
2002,세전 기준,2004-09-30,4000000.0,3.52,0.0,0.0,319753147.8525996,,,,,,,,,
2002,세전 기준,2004-10-31,4000000.0,3.52,0.0,0.0,322441257.37555295,,,,,,,,,
2002,세전 기준,2004-11-30,4000000.0,3.42,0.0,0.0,315864859.13876295,,,,,,,,,
2002,세전 기준,2004-12-31,4000000.0,3.39,0.0,0.0,317405857.34420466,,,,,,,,,
2002,세전 기준,2005-01-31,4000000.0,3.47,0.0,0.0,290999021.01157427,,,,,,,,,
2002,세전 기준,2005-02-28,4000000.0,3.59,0.0,0.0,278265830.3908931,,,,,,,,,
2002,세전 기준,2005-03-31,4000000.0,3.55,0.0,0.0,273380868.41560423,,,,,,,,,
2002,세전 기준,2005-04-30,4000000.0,3.52,0.0,0.0,252756272.42862216,,,,,,,,,
2002,세전 기준,2005-05-31,4000000.0,3.51,0.0,0.0,273363857.9223897,,,,,,,,,
2002,세전 기준,2005-06-30,4000000.0,3.51,0.0,0.0,268032892.5204784,,,,,,,,,
2002,세전 기준,2005-07-31,4000000.0,3.51,0.0,0.0,282207149.23513705,,,,,,,,,
2002,세전 기준,2005-08-31,4000000.0,3.5,0.0,0.0,277313786.94587284,,,,,,,,,
2002,세전 기준,2005-09-30,4000000.0,3.7,0.0,0.0,277647109.27857834,,,,,,,,,
2002,세전 기준,2005-10-31,4000000.0,3.93,0.0,0.0,269784359.9566185,,,,,,,,,
2002,세전 기준,2005-11-30,4000000.0,3.96,0.0,0.0,280560617.65755457,,,,,,,,,
2002,세전 기준,2005-12-31,4000000.0,4.04,0.0,0.0,264298696.69555798,,,,,,,,,
2002,세전 기준,2006-01-31,4000000.0,4.15,0.0,0.0,256799844.89798272,,,,,,,,,
2002,세전 기준,2006-02-28,4000000.0,4.25,0.0,0.0,250441957.43688396,,,,,,,,,
2002,세전 기준,2006-03-31,4000000.0,4.27,0.0,0.0,251810454.13027823,,,,,,,,,
2002,세전 기준,2006-04-30,4000000.0,4.33,0.0,0.0,239930208.1871311,,,,,,,,,
2002,세전 기준,2006-05-31,4000000.0,4.36,0.0,0.0,219148920.8486047,,,,,,,,,
2002,세전 기준,2006-06-30,4000000.0,4.47,0.0,0.0,215755563.16237697,,,,,,,,,
2002,세전 기준,2006-07-31,4000000.0,4.63,0.0,0.0,203855026.77681994,,,,,,,,,
2002,세전 기준,2006-08-31,4000000.0,4.68,0.0,0.0,210967492.89875367,,,,,,,,,
2002,세전 기준,2006-09-30,4000000.0,4.64,0.0,0.0,213287289.54094258,,,,,,,,,
2002,세전 기준,2006-10-31,4000000.0,4.57,0.0,0.0,218516215.58783248,,,,,,,,,
2002,세전 기준,2006-11-30,4000000.0,4.6,0.0,0.0,218842497.44831482,,,,,,,,,
2002,세전 기준,2006-12-31,4000000.0,4.76,0.0,0.0,210962124.29054323,,,,,,,,,
2002,세전 기준,2007-01-31,4000000.0,4.92,0.0,0.0,213957915.19620153,,,,,,,,,
2002,세전 기준,2007-02-28,4000000.0,4.95,0.0,0.0,206655925.21961114,,,,,,,,,
2002,세전 기준,2007-03-31,4000000.0,4.94,0.0,0.0,203475952.66632128,,,,,,,,,
2002,세전 기준,2007-04-30,4000000.0,4.95,0.0,0.0,208529201.27940154,,,,,,,,,
2002,세전 기준,2007-05-31,4000000.0,5.04,0.0,0.0,210276202.7376024,,,,,,,,,
2002,세전 기준,2007-06-30,4000000.0,5.03,0.0,0.0,206190522.90256175,,,,,,,,,
2002,세전 기준,2007-07-31,4000000.0,5.05,0.0,0.0,201084015.52841175,,,,,,,,,
2002,세전 기준,2007-08-31,4000000.0,5.21,0.0,0.0,207050061.456384,,,,,,,,,
2002,세전 기준,2007-09-30,4000000.0,5.34,0.0,0.0,208233149.7819016,,,,,,,,,
2002,세전 기준,2007-10-31,4000000.0,5.34,0.0,0.0,216358361.81449056,,,,,,,,,
2002,세전 기준,2007-11-30,4000000.0,5.43,0.0,0.0,201686061.08041063,,,,,,,,,
