start_year,strategy,depleted_within_period,depletion_month,months_survived,total_withdrawn_krw,total_waiting_interest_krw,taxes_paid_krw,ending_balance_krw,pre_liquidation_balance_krw
2002,세전 기준,False,-,120,480000000.0,8072564.926691196,0.0,30876298.36292213,30876298.36292213
2002,미국계좌,False,-,120,480000000.0,8072564.926691196,11216827.908739403,15530765.617978472,17317711.888590515
2002,절세계좌,False,-,120,480000000.0,8072564.926691193,13586378.16883031,14965749.026704475,14965749.026704475
2003,세전 기준,False,-,120,480000000.0,7760607.8697592765,0.0,123728491.70709649,123728491.70709649
2003,미국계좌,False,-,120,480000000.0,7760607.8697592765,19408742.95826707,87928315.76938832,99592516.06486276
2003,절세계좌,False,-,120,480000000.0,7913893.521290156,21063491.692654863,103759494.23446977,103759494.23446977
2004,세전 기준,False,-,120,480000000.0,6857193.288865144,0.0,26001154.503309496,26001154.503309496
2004,미국계좌,False,-,120,480000000.0,6857193.288865144,13774315.746027347,6769663.275801025,7756128.878531297
2004,절세계좌,False,-,120,480000000.0,6920730.109046577,10129809.831633417,14128429.365421006,15007075.008705826
2005,세전 기준,False,-,120,480000000.0,5901598.878429492,0.0,194742172.68639666,194742172.68639666
2005,미국계좌,False,-,120,480000000.0,5901598.878429492,22093122.922269724,137405770.53438637,161256695.37830096
2005,절세계좌,False,-,120,480000000.0,5990482.844404405,25761067.35241493,161244470.4798127,166219963.98486403
2006,세전 기준,False,-,120,480000000.0,7235024.989212479,0.0,357336912.3663809,357336912.3663809
2006,미국계좌,False,-,120,480000000.0,7235024.989212479,30413052.236376863,259000756.41983172,308098187.3674323
2006,절세계좌,False,-,120,480000000.0,7369359.486744437,12697755.620278906,309647490.3809381,344515145.5869234
2007,세전 기준,False,-,120,480000000.0,8401661.926088601,0.0,347886230.7236158,347886230.7236158
2007,미국계좌,False,-,120,480000000.0,8401661.926088601,31499513.73551262,252394705.58008456,299602026.80463135
2007,절세계좌,False,-,120,480000000.0,8555105.28907078,44337361.97522715,302746209.2396314,304461431.9730274
2008,세전 기준,False,-,120,480000000.0,9391812.85521305,0.0,475208213.12509876,475208213.12509876
2008,미국계좌,False,-,120,480000000.0,9391812.85521305,37402540.81629157,346603682.246372,414881602.0560525
2008,절세계좌,False,-,120,480000000.0,9518987.095984137,12465244.444048217,413730666.0207585,461941789.69376516
2009,세전 기준,False,-,120,480000000.0,5065566.20875399,0.0,677422919.672627,677422919.672627
2009,미국계좌,False,-,120,480000000.0,5065566.20875399,47265073.10297246,502376848.33295083,603840598.3932133
2009,절세계좌,False,-,120,480000000.0,5236260.112997309,10577135.175168745,594199039.5354756,666434215.4010335
2010,세전 기준,False,-,120,480000000.0,4571130.087370712,0.0,763385694.7097487,763385694.7097487
2010,미국계좌,False,-,120,480000000.0,4571130.087370712,45369059.61397677,559684729.0927117,679347710.223831
2010,절세계좌,False,-,120,480000000.0,4701126.681380036,11468236.14984727,662856796.7364188,742395884.8239441
2011,세전 기준,False,-,120,480000000.0,5387441.217889696,0.0,928048425.9318824,928048425.9318824
2011,미국계좌,False,-,120,480000000.0,5387441.217889696,46155512.80934673,677470795.8463635,829338793.3168428
2011,절세계좌,False,-,120,480000000.0,5509977.894511464,11945942.81164163,804467441.8688666,903546588.1807905
2012,세전 기준,False,-,120,480000000.0,5917407.962106368,0.0,1124036268.3998773,1124036268.3998773
2012,미국계좌,False,-,120,480000000.0,5917407.962106368,47973457.08687514,816698842.8900797,1007339947.187198
2012,절세계좌,False,-,120,480000000.0,6053093.514230766,11771227.827441132,977115948.9490304,1100141300.5185392
2013,세전 기준,False,-,120,480000000.0,4703404.806166815,0.0,806335129.7487549,806335129.7487549
2013,미국계좌,False,-,120,480000000.0,4703404.806166815,51892065.40535039,602645782.5844632,727865669.8858118
2013,절세계좌,False,-,120,480000000.0,4847741.040564503,10422648.842080103,702182205.9042199,789058691.5597059
2014,세전 기준,False,-,120,480000000.0,4429634.739505305,0.0,989463335.6442591,989463335.6442591
2014,미국계좌,False,-,120,480000000.0,4429634.739505305,50040883.65489525,729029525.0488975,891824507.8915232
2014,절세계좌,False,-,120,480000000.0,4537862.1639015665,13095844.471992187,859406788.1325512,963703958.7079978
2015,세전 기준,False,-,120,480000000.0,3273514.3716944517,0.0,1051594362.6115261,1051594362.6115261
2015,미국계좌,False,-,120,480000000.0,3273514.3716944517,47560437.15288552,771026162.126265,948472882.032361
2015,절세계좌,False,-,120,480000000.0,3383457.3692282434,13790051.78015684,911672709.5034822,1022037568.8879629
2016,세전 기준,False,-,120,480000000.0,2662383.998911053,0.0,1328208406.5980642,1328208406.5980642
2016,미국계좌,False,-,120,480000000.0,2662383.998911053,54020487.99527578,977970270.9479905,1207498161.322968
2016,절세계좌,False,-,120,480000000.0,2814667.06902405,13167942.608582973,1147345954.3291638,1288388739.3969724
